"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"
"ACTB"	2.08476841065591e-53	-0.642444175848397	0.769	0.902	4.82582191698631e-49	"Mig"	"ACTB"	"AD"
"HLA-C"	1.71986237909468e-51	-0.788198686180732	0.143	0.349	3.98113743512836e-47	"Mig"	"HLA-C"	"AD"
"C1QC"	2.96056048638617e-51	-0.837204216593133	0.569	0.746	6.85310541388672e-47	"Mig"	"C1QC"	"AD"
"FCGR1CP"	1.02656078406626e-49	-1.37315920360115	0.109	0.292	2.37628290295658e-45	"Mig"	"FCGR1CP"	"AD"
"FCGR1A"	1.49853115218469e-48	-1.4587713557278	0.142	0.33	3.46879991107713e-44	"Mig"	"FCGR1A"	"AD"
"HSP90AB1"	3.84468573461225e-48	1.25436971155911	0.468	0.248	8.89967853848045e-44	"Mig"	"HSP90AB1"	"AD"
"CD14"	4.52167760523749e-47	-1.13260474817963	0.148	0.339	1.04667793206037e-42	"Mig"	"CD14"	"AD"
"CYBB"	4.9365090321993e-45	-0.588919489737414	0.811	0.916	1.14270311077349e-40	"Mig"	"CYBB"	"AD"
"ZFP36L2"	1.20761193467126e-44	0.94458148952433	0.509	0.291	2.79538010637704e-40	"Mig"	"ZFP36L2"	"AD"
"C3"	1.45060259372632e-43	-0.806953148751714	0.515	0.715	3.35785488395769e-39	"Mig"	"C3"	"AD"
"CLK1"	2.83042849144598e-41	0.79723420675779	0.388	0.183	6.55187587199915e-37	"Mig"	"CLK1"	"AD"
"HLA-DRB1"	5.41509212268116e-39	-0.977656097220094	0.275	0.468	1.25348552455823e-34	"Mig"	"HLA-DRB1"	"AD"
"RGS1"	1.3385930699432e-37	1.10835198165807	0.349	0.169	3.09857523830452e-33	"Mig"	"RGS1"	"AD"
"MIDEAS"	4.10928836840412e-35	1.13640308682255	0.173	0.045	9.51218071518187e-31	"Mig"	"MIDEAS"	"AD"
"CXCR4"	9.44365621279579e-34	1.6644342598183	0.101	0.008	2.18601754013797e-29	"Mig"	"CXCR4"	"AD"
"PLAC8"	1.83435981345042e-33	-1.27043426166413	0.016	0.101	4.24617609617504e-29	"Mig"	"PLAC8"	"AD"
"RASGEF1B"	3.24017256962197e-33	1.22455975950318	0.195	0.061	7.50035146416094e-29	"Mig"	"RASGEF1B"	"AD"
"SAT1"	5.42903934574276e-33	0.613200816001687	0.722	0.542	1.25671402775253e-28	"Mig"	"SAT1"	"AD"
"CHORDC1"	8.54343601075831e-33	1.34879231636181	0.182	0.055	1.97763456777033e-28	"Mig"	"CHORDC1"	"AD"
"FAM157A"	1.1509593963548e-31	-0.945686668351647	0.057	0.17	2.66424081068208e-27	"Mig"	"FAM157A"	"AD"
"STAT3"	4.29301318923275e-31	-0.450191884659831	0.246	0.42	9.93746693043598e-27	"Mig"	"STAT3"	"AD"
"EIF5AP2"	1.44375826062044e-30	-0.268598554317932	0.08	0.202	3.34201162168419e-26	"Mig"	"EIF5AP2"	"AD"
"FPR1"	2.33262404618765e-30	-1.28206175050343	0.065	0.181	5.39955814211517e-26	"Mig"	"FPR1"	"AD"
"TGFBR1"	1.49017945797636e-28	-0.943966876410993	0.153	0.294	3.44946740932367e-24	"Mig"	"TGFBR1"	"AD"
"KCNJ2"	1.0446827500102e-27	-1.02335458198375	0.182	0.325	2.41823162972362e-23	"Mig"	"KCNJ2"	"AD"
"SNORD14E"	5.26341566826238e-27	1.55483212076282	0.129	0.032	1.21837545888938e-22	"Mig"	"SNORD14E"	"AD"
"LOC101929823"	7.99194721412224e-27	-0.696260205287847	0.03	0.114	1.84997594112501e-22	"Mig"	"LOC101929823"	"AD"
"TRA2A"	2.06795468603626e-26	0.589173935774224	0.625	0.45	4.78690150723673e-22	"Mig"	"TRA2A"	"AD"
"RNA5SP151"	3.05705080012816e-26	1.05437922043367	0.23	0.101	7.07646119213665e-22	"Mig"	"RNA5SP151"	"AD"
"EIF5A"	3.59674815735057e-26	-0.854107705644702	0.379	0.515	8.32575263463509e-22	"Mig"	"EIF5A"	"AD"
"CALR"	4.91739534491036e-26	-0.676441038373016	0.478	0.606	1.13827867443985e-21	"Mig"	"CALR"	"AD"
"UBC"	1.46300632494126e-25	0.864478079922149	0.352	0.2	3.38656704097402e-21	"Mig"	"UBC"	"AD"
"RBM3"	3.406994135174e-25	-0.823981430028891	0.08	0.189	7.88651002410077e-21	"Mig"	"RBM3"	"AD"
"EIF5AL1"	1.17438613574144e-24	-0.711413197900333	0.287	0.427	2.71846902701429e-20	"Mig"	"EIF5AL1"	"AD"
"TMSB4XP4"	1.64407926249516e-24	-0.448717813693897	0.677	0.784	3.80571467682381e-20	"Mig"	"TMSB4XP4"	"AD"
"FCGBP"	5.97668058149508e-24	-1.21574273432914	0.06	0.156	1.38348202100448e-19	"Mig"	"FCGBP"	"AD"
"SPP1"	1.94731061519559e-23	0.355286422003474	0.879	0.761	4.50763461205475e-19	"Mig"	"SPP1"	"AD"
"B2M"	2.28863185453008e-23	-0.495290978153363	0.629	0.754	5.29772501686624e-19	"Mig"	"B2M"	"AD"
"LAP3"	7.65303812785051e-23	-1.05956332886992	0.059	0.153	1.77152526583484e-18	"Mig"	"LAP3"	"AD"
"HP1BP3"	1.29505991678694e-22	0.943617218268565	0.376	0.231	2.99780469537841e-18	"Mig"	"HP1BP3"	"AD"
"HSPA8"	1.81974878593522e-22	1.22518712193718	0.276	0.148	4.21235448968286e-18	"Mig"	"HSPA8"	"AD"
"PLXDC2"	2.67792250204959e-22	0.703351877111308	0.43	0.276	6.1988550077444e-18	"Mig"	"PLXDC2"	"AD"
"PDGFA"	4.35955554245918e-22	-0.774347487836867	0.172	0.299	1.00914991696845e-17	"Mig"	"PDGFA"	"AD"
"FOS"	5.86955267130184e-22	0.952901943443904	0.144	0.049	1.35868405235295e-17	"Mig"	"FOS"	"AD"
"PRDM1"	4.91070190757274e-21	1.03457311477917	0.185	0.08	1.13672927756494e-16	"Mig"	"PRDM1"	"AD"
"TNFRSF13C"	1.64650695516501e-20	0.693610861445317	0.179	0.077	3.81133429981598e-16	"Mig"	"TNFRSF13C"	"AD"
"KCNMB1"	4.5992697662478e-20	-0.968894579830232	0.114	0.22	1.06463896549104e-15	"Mig"	"KCNMB1"	"AD"
"MARCHF6"	6.40379617356408e-20	0.637186892402249	0.246	0.128	1.48235073825661e-15	"Mig"	"MARCHF6"	"AD"
"MTRNR2L2"	1.18400953828628e-19	0.316521159342034	0.851	0.784	2.74074527922508e-15	"Mig"	"MTRNR2L2"	"AD"
"MTRNR2L12"	1.18400953828628e-19	0.316521159342034	0.851	0.784	2.74074527922508e-15	"Mig"	"MTRNR2L12"	"AD"
"RHOB"	1.35569407019892e-19	0.614870711619951	0.106	0.03	3.13816063369647e-15	"Mig"	"RHOB"	"AD"
"KMT2E"	1.42367995663643e-19	0.515827444721253	0.319	0.187	3.29553436362202e-15	"Mig"	"KMT2E"	"AD"
"NUTF2"	1.62476926514098e-19	-0.655772445880441	0.256	0.382	3.76101589494833e-15	"Mig"	"NUTF2"	"AD"
"NHSL1"	3.93378613440298e-19	0.580283008759814	0.211	0.102	9.10592814391601e-15	"Mig"	"NHSL1"	"AD"
"MARCKS"	4.56415003128011e-19	-0.448716370005149	0.647	0.758	1.05650944924072e-14	"Mig"	"MARCKS"	"AD"
"RNF149"	9.63173133452082e-19	-0.89303285150236	0.152	0.261	2.22955316931488e-14	"Mig"	"RNF149"	"AD"
"C6orf62"	1.06667786582958e-18	0.62397867113882	0.534	0.408	2.4691459238223e-14	"Mig"	"C6orf62"	"AD"
"RNU4ATAC"	1.08462598295274e-18	0.721082287389672	0.113	0.037	2.51069222533901e-14	"Mig"	"RNU4ATAC"	"AD"
"POU2F2"	1.70837953805741e-18	-0.790386537799034	0.105	0.204	3.9545569546953e-14	"Mig"	"POU2F2"	"AD"
"MTRNR2L8"	3.77250921891921e-18	0.531472306175706	0.698	0.619	8.73260433995419e-14	"Mig"	"MTRNR2L8"	"AD"
"NPC2"	7.09515673992679e-18	-0.879816150905364	0.151	0.258	1.64238688215825e-13	"Mig"	"NPC2"	"AD"
"DENND3"	1.04690814692643e-17	-0.562518726299713	0.098	0.193	2.42338297850531e-13	"Mig"	"DENND3"	"AD"
"SRGAP2B"	1.48661319087447e-17	0.412262809072784	0.771	0.689	3.44121221423622e-13	"Mig"	"SRGAP2B"	"AD"
"HSP90AB3P"	2.10437405365432e-17	0.69827050008285	0.164	0.074	4.87120505939901e-13	"Mig"	"HSP90AB3P"	"AD"
"JAK3"	2.41815873762021e-17	-1.06890290677995	0.05	0.123	5.59755384584325e-13	"Mig"	"JAK3"	"AD"
"CYTB"	2.92711151965035e-17	0.543842676137612	0.56	0.418	6.77567774568664e-13	"Mig"	"CYTB"	"AD"
"PTGES3"	3.43253426553351e-17	0.935737529933551	0.238	0.133	7.94563031785697e-13	"Mig"	"PTGES3"	"AD"
"DOCK5"	3.62674448587733e-17	-0.782644768608186	0.128	0.226	8.39518813590884e-13	"Mig"	"DOCK5"	"AD"
"HLA-A"	4.52027327664766e-17	-0.918337818469008	0.149	0.25	1.0463528580784e-12	"Mig"	"HLA-A"	"AD"
"AXL"	7.06419332678085e-17	0.527589068075536	0.421	0.295	1.63521947128323e-12	"Mig"	"AXL"	"AD"
"LOC100652833"	7.17045493534032e-17	-0.152323069298654	0.041	0.11	1.65981690843258e-12	"Mig"	"LOC100652833"	"AD"
"RBM6"	1.44950533625054e-16	0.526208105179539	0.588	0.446	3.35531495235275e-12	"Mig"	"RBM6"	"AD"
"FGL2"	4.22713527305161e-16	-0.498156578049923	0.158	0.263	9.78497273005986e-12	"Mig"	"FGL2"	"AD"
"HLA-DQA1"	5.76331477842676e-16	-0.649959563422768	0.115	0.207	1.33409210491023e-11	"Mig"	"HLA-DQA1"	"AD"
"ACTG1"	6.31097240070748e-16	-0.686416987177797	0.162	0.263	1.46086389131577e-11	"Mig"	"ACTG1"	"AD"
"BIN1"	6.44683387138282e-16	-0.8229887899163	0.171	0.272	1.4923131045477e-11	"Mig"	"BIN1"	"AD"
"HERPUD1"	8.80506718509744e-16	0.612533260074262	0.237	0.132	2.03819695200636e-11	"Mig"	"HERPUD1"	"AD"
"CX3CR1"	1.34154407755093e-15	-0.74271466547383	0.237	0.348	3.10540623071488e-11	"Mig"	"CX3CR1"	"AD"
"NAV3"	2.05515350030839e-15	-0.876003057009939	0.145	0.241	4.75726932251386e-11	"Mig"	"NAV3"	"AD"
"SLC2A5"	2.45047085354383e-15	-0.567098163281838	0.172	0.273	5.67234993178326e-11	"Mig"	"SLC2A5"	"AD"
"PDIA4"	3.36026139722487e-15	-0.580199478678579	0.168	0.268	7.77833308229613e-11	"Mig"	"PDIA4"	"AD"
"ALYREF"	6.16819614058317e-15	-0.641477330192283	0.108	0.193	1.42781404262219e-10	"Mig"	"ALYREF"	"AD"
"PTPRJ"	8.29841065639624e-15	-0.145019151109681	0.159	0.261	1.9209160987426e-10	"Mig"	"PTPRJ"	"AD"
"PSMG3"	1.20966054922753e-14	1.03896315724033	0.1	0.036	2.8001222393519e-10	"Mig"	"PSMG3"	"AD"
"CNOT7"	1.31342366592301e-14	0.858043176539919	0.195	0.105	3.04031310187858e-10	"Mig"	"CNOT7"	"AD"
"SRGAP2C"	1.64434514621881e-14	0.353093603265056	0.765	0.681	3.8063301444673e-10	"Mig"	"SRGAP2C"	"AD"
"CACUL1"	2.47662359864114e-14	0.653020473320609	0.133	0.059	5.7328883061345e-10	"Mig"	"CACUL1"	"AD"
"SLC35F6"	3.26951605254904e-14	0.640858032226202	0.152	0.073	7.56827575844052e-10	"Mig"	"SLC35F6"	"AD"
"SLC25A37"	4.21538592112419e-14	0.259184708178944	0.379	0.265	9.75777533021827e-10	"Mig"	"SLC25A37"	"AD"
"HSPA5"	6.03207569019305e-14	-0.707210332271183	0.121	0.209	1.39630488076589e-09	"Mig"	"HSPA5"	"AD"
"TIAM1"	6.81364246513505e-14	0.27851741526831	0.233	0.134	1.57722195782946e-09	"Mig"	"TIAM1"	"AD"
"SDC3"	6.94640201574262e-14	-0.452091486082704	0.067	0.137	1.6079531386041e-09	"Mig"	"SDC3"	"AD"
"AMFR"	2.39514592095743e-13	-0.654064780595952	0.282	0.38	5.54428377783225e-09	"Mig"	"AMFR"	"AD"
"SSR3"	2.74489254221788e-13	-0.712758084292126	0.059	0.124	6.35387725672594e-09	"Mig"	"SSR3"	"AD"
"HLA-DPB1"	2.88599978566029e-13	-0.616928832416595	0.151	0.24	6.68051230384644e-09	"Mig"	"HLA-DPB1"	"AD"
"APOE"	3.29105113678121e-13	-0.423708903392875	0.334	0.446	7.61812517142115e-09	"Mig"	"APOE"	"AD"
"AIF1"	3.47316683320697e-13	-0.570329901229619	0.37	0.484	8.03968658550749e-09	"Mig"	"AIF1"	"AD"
"BHLHE41"	3.73326549107743e-13	-0.547325140575371	0.454	0.552	8.64176295874604e-09	"Mig"	"BHLHE41"	"AD"
"P4HA1"	4.29230804129454e-13	0.705434531541892	0.166	0.088	9.9358346539886e-09	"Mig"	"P4HA1"	"AD"
"RIN2"	4.96813562485558e-13	0.326326982002913	0.524	0.394	1.15002403444157e-08	"Mig"	"RIN2"	"AD"
"DNAJA1"	6.58833612127148e-13	0.930522271129362	0.109	0.046	1.52506804535192e-08	"Mig"	"DNAJA1"	"AD"
"DPYSL2"	1.2887190257645e-12	0.475069433426157	0.342	0.238	2.98312680083966e-08	"Mig"	"DPYSL2"	"AD"
"TMEM176B"	1.41859968906096e-12	-1.03839282723046	0.057	0.118	3.28377456023832e-08	"Mig"	"TMEM176B"	"AD"
"HLA-DRA"	2.78326226991856e-12	-0.546108145411903	0.449	0.549	6.44269550240749e-08	"Mig"	"HLA-DRA"	"AD"
"IRF2BP2"	2.92201547567647e-12	0.558864585611691	0.162	0.086	6.7638814230959e-08	"Mig"	"IRF2BP2"	"AD"
"LYZ"	3.14620135365729e-12	0.294116491625088	0.109	0.046	7.28282689344589e-08	"Mig"	"LYZ"	"AD"
"H4C15"	4.20059504150035e-12	0.646515199403808	0.124	0.058	9.72353740206502e-08	"Mig"	"H4C15"	"AD"
"MSR1"	1.21442898181524e-11	-0.873560969607867	0.274	0.359	2.81116020710592e-07	"Mig"	"MSR1"	"AD"
"FCGR3A"	1.50447777038236e-11	-0.514595790922179	0.312	0.404	3.48256514288108e-07	"Mig"	"FCGR3A"	"AD"
"HLA-DPA1"	1.60960549714921e-11	-0.623171307634267	0.254	0.346	3.72591480480098e-07	"Mig"	"HLA-DPA1"	"AD"
"FCGR3B"	1.86099351326285e-11	-0.279505020680786	0.172	0.259	4.30782778450085e-07	"Mig"	"FCGR3B"	"AD"
"KHDRBS3"	1.94333307782538e-11	0.808060485852629	0.149	0.079	4.49842740855018e-07	"Mig"	"KHDRBS3"	"AD"
"MALAT1"	1.95576366669544e-11	0.170906251270847	1	0.998	4.5272017356666e-07	"Mig"	"MALAT1"	"AD"
"EIF5"	1.95790885282391e-11	0.649062353221618	0.135	0.069	4.53216741251678e-07	"Mig"	"EIF5"	"AD"
"PLD4"	2.67568360335897e-11	0.473061062781621	0.156	0.086	6.19367240505534e-07	"Mig"	"PLD4"	"AD"
"ITCH"	3.53409995625819e-11	-0.225321795346139	0.093	0.164	8.18073457874645e-07	"Mig"	"ITCH"	"AD"
"DNAJB6"	3.79242404463511e-11	0.586582455003886	0.155	0.084	8.77870317852135e-07	"Mig"	"DNAJB6"	"AD"
"PPT1"	3.83173695843853e-11	0.495923325002038	0.201	0.12	8.86970471139351e-07	"Mig"	"PPT1"	"AD"
"ADGRG1"	5.23562460992449e-11	-0.537237982185134	0.231	0.322	1.21194238470532e-06	"Mig"	"ADGRG1"	"AD"
"HNRNPL"	6.38214726921754e-11	-0.352270647557212	0.637	0.698	1.47733944987848e-06	"Mig"	"HNRNPL"	"AD"
"ST13"	7.34519307798722e-11	0.667705866070201	0.119	0.058	1.70026529369248e-06	"Mig"	"ST13"	"AD"
"SMURF2"	9.12429548858683e-11	0.702690808942854	0.134	0.07	2.11209191969808e-06	"Mig"	"SMURF2"	"AD"
"TMSB10"	9.42240988374120e-11	-0.539165260436942	0.22	0.305	2.18109943988841e-06	"Mig"	"TMSB10"	"AD"
"DIP2A"	9.51193535475993e-11	0.710411280092571	0.144	0.077	2.20182279591983e-06	"Mig"	"DIP2A"	"AD"
"SCIN"	1.27077157794764e-10	-0.549004725862986	0.351	0.442	2.94158204863319e-06	"Mig"	"SCIN"	"AD"
"MPHOSPH8"	1.43514434684207e-10	0.676042218917039	0.198	0.121	3.32207213407002e-06	"Mig"	"MPHOSPH8"	"AD"
"RNA5-8SN4"	2.218718400666e-10	-0.757249961485063	0.105	0.171	5.13588935386165e-06	"Mig"	"RNA5-8SN4"	"AD"
"YWHAH"	2.37643568476082e-10	-0.395756943797402	0.547	0.623	5.50097332308434e-06	"Mig"	"YWHAH"	"AD"
"GLUL"	2.38290670003435e-10	0.669684423903252	0.182	0.108	5.51595242923952e-06	"Mig"	"GLUL"	"AD"
"KMT2A"	3.37726743033081e-10	0.613288584577015	0.106	0.05	7.81769864772975e-06	"Mig"	"KMT2A"	"AD"
"H4C14"	4.0055248631853e-10	0.641309266941048	0.118	0.06	9.27198895330133e-06	"Mig"	"H4C14"	"AD"
"TMED4"	4.02091726647395e-10	-0.725513808144332	0.186	0.266	9.30761928843391e-06	"Mig"	"TMED4"	"AD"
"HS3ST1"	4.38961610515887e-10	0.420234498679806	0.133	0.071	1.01610833602217e-05	"Mig"	"HS3ST1"	"AD"
"FNIP1"	5.37176193648539e-10	1.02918474338256	0.13	0.07	1.24345545305764e-05	"Mig"	"FNIP1"	"AD"
"APOC1"	5.54280367379371e-10	-0.403628251790578	0.122	0.193	1.28304819440977e-05	"Mig"	"APOC1"	"AD"
"CST3"	5.80479478179292e-10	-0.558415281637012	0.225	0.307	1.34369389608942e-05	"Mig"	"CST3"	"AD"
"HSPD1"	7.47428458715826e-10	0.70429170156322	0.105	0.051	1.73014739623539e-05	"Mig"	"HSPD1"	"AD"
"VSIG4"	8.57936691681613e-10	-0.296475758847833	0.176	0.258	1.9859518539046e-05	"Mig"	"VSIG4"	"AD"
"VPS13C"	8.59957360206054e-10	0.530913538700676	0.287	0.203	1.99062929740497e-05	"Mig"	"VPS13C"	"AD"
"IL6ST"	9.22079725446633e-10	0.211265739171555	0.467	0.364	2.13443014846387e-05	"Mig"	"IL6ST"	"AD"
"CCNDBP1"	9.71675522275664e-10	0.617448196703353	0.148	0.083	2.24923449896371e-05	"Mig"	"CCNDBP1"	"AD"
"RAB12"	1.15006107823359e-09	-0.406731074134332	0.593	0.646	2.66216138389511e-05	"Mig"	"RAB12"	"AD"
"SRSF6"	1.2124538107936e-09	0.341638595059275	0.736	0.637	2.80658808122503e-05	"Mig"	"SRSF6"	"AD"
"VMP1"	1.44273611627673e-09	-0.687263484999178	0.113	0.179	3.33964556195738e-05	"Mig"	"VMP1"	"AD"
"MIS18BP1"	1.62845948916831e-09	0.654380990267745	0.19	0.119	3.7695580255268e-05	"Mig"	"MIS18BP1"	"AD"
"HSPE1"	2.27167259626467e-09	0.714477763093761	0.105	0.052	5.25846772583346e-05	"Mig"	"HSPE1"	"AD"
"STT3A"	2.52833707130265e-09	-0.628809770397549	0.183	0.258	5.85259465265137e-05	"Mig"	"STT3A"	"AD"
"RNASET2"	2.56618724807079e-09	-0.219799092728484	0.526	0.623	5.94021024183427e-05	"Mig"	"RNASET2"	"AD"
"CFL1"	2.57658361239234e-09	-0.529165820519203	0.188	0.264	5.96427574596579e-05	"Mig"	"CFL1"	"AD"
"ANKRD44"	2.81645457492231e-09	0.34994864461198	0.275	0.193	6.51952905003016e-05	"Mig"	"ANKRD44"	"AD"
"SDCBP"	3.35103965349706e-09	0.828901383871486	0.135	0.075	7.75698658991499e-05	"Mig"	"SDCBP"	"AD"
"MARCHF2"	3.42235766387989e-09	-0.608271933605555	0.159	0.229	7.92207352034917e-05	"Mig"	"MARCHF2"	"AD"
"CELF2"	5.42061501322875e-09	0.502206401279738	0.213	0.14	0.000125476396326219	"Mig"	"CELF2"	"AD"
"MAF"	5.49562396987065e-09	0.277383341383397	0.608	0.503	0.000127212703654566	"Mig"	"MAF"	"AD"
"DHRS3"	7.11251569338576e-09	0.358644926019924	0.244	0.169	0.000164640513270494	"Mig"	"DHRS3"	"AD"
"HNRNPA1"	7.43550240249126e-09	-0.491346026586585	0.139	0.206	0.000172117009612868	"Mig"	"HNRNPA1"	"AD"
"USP53"	9.22418909388716e-09	0.437184767701438	0.147	0.086	0.0002135215291453	"Mig"	"USP53"	"AD"
"RNA5-8SN1"	9.2566144089024e-09	-0.669158289309224	0.111	0.171	0.000214272110337273	"Mig"	"RNA5-8SN1"	"AD"
"GATM"	9.68605261038847e-09	0.296783289795403	0.103	0.052	0.000224212745825272	"Mig"	"GATM"	"AD"
"GIGYF1"	1.1948026903679e-08	0.175213927008343	0.138	0.079	0.000276572926766362	"Mig"	"GIGYF1"	"AD"
"TMSB4X"	1.29612750184641e-08	-0.190799558461465	0.813	0.886	0.000300027594127408	"Mig"	"TMSB4X"	"AD"
"RBM39"	1.30943533771772e-08	0.371670513287409	0.342	0.258	0.000303108091974898	"Mig"	"RBM39"	"AD"
"ETNK1"	1.40771310468745e-08	0.316667191768912	0.283	0.202	0.00032585742947305	"Mig"	"ETNK1"	"AD"
"RGPD5"	1.50137288695721e-08	0.676387972310623	0.155	0.095	0.000347537795872854	"Mig"	"RGPD5"	"AD"
"RASSF4"	1.52296750241957e-08	-0.941875464039391	0.097	0.154	0.000352536517460083	"Mig"	"RASSF4"	"AD"
"NCOA3"	1.71081589266203e-08	0.676391678448154	0.148	0.088	0.000396019662833407	"Mig"	"NCOA3"	"AD"
"CPEB4"	1.77471861234637e-08	-0.551427520501118	0.14	0.205	0.000410811864385938	"Mig"	"CPEB4"	"AD"
"CHD7"	1.78371202445509e-08	0.0159461372369605	0.179	0.114	0.000412893659420864	"Mig"	"CHD7"	"AD"
"GLUD1"	1.79015926916843e-08	-0.563813247741686	0.166	0.234	0.000414386067627109	"Mig"	"GLUD1"	"AD"
"RNA5-8SN5"	2.28191967371833e-08	-0.693816572383148	0.111	0.17	0.000528218766072318	"Mig"	"RNA5-8SN5"	"AD"
"RGPD6"	2.29446639969667e-08	0.520693621223735	0.127	0.073	0.000531123082201784	"Mig"	"RGPD6"	"AD"
"NCL"	2.52296447224107e-08	-0.546794373815448	0.129	0.194	0.000584015816034363	"Mig"	"NCL"	"AD"
"TOB1"	2.52463364819499e-08	0.489011091290212	0.118	0.065	0.000584402196884176	"Mig"	"TOB1"	"AD"
"RNA5-8SP10"	3.24699877089427e-08	-0.680442051441347	0.113	0.17	0.000751615275486606	"Mig"	"RNA5-8SP10"	"AD"
"ARPC5"	3.57697072734597e-08	0.431718167008103	0.189	0.123	0.000827997183966044	"Mig"	"ARPC5"	"AD"
"ZEB2"	3.85613147284501e-08	-0.393260252199934	0.21	0.284	0.000892617313334164	"Mig"	"ZEB2"	"AD"
"ASAH1"	4.33951490959946e-08	0.547697909751938	0.225	0.156	0.00100451091127408	"Mig"	"ASAH1"	"AD"
"ANKRD10"	4.38824092634695e-08	0.243244979918495	0.298	0.219	0.00101579000963079	"Mig"	"ANKRD10"	"AD"
"RESF1"	4.65508884389498e-08	0.522923013603404	0.122	0.069	0.00107755996558481	"Mig"	"RESF1"	"AD"
"MED13L"	4.87262752656963e-08	0.656824653130425	0.151	0.093	0.00112791581985034	"Mig"	"MED13L"	"AD"
"HNRNPU"	5.36199887356956e-08	0.389722446912649	0.374	0.289	0.00124119549925388	"Mig"	"HNRNPU"	"AD"
"EIF2S2"	6.4298938775229e-08	-0.479910138122088	0.142	0.203	0.001488391834769	"Mig"	"EIF2S2"	"AD"
"ZFX"	6.4828920372897e-08	0.485157659020326	0.181	0.117	0.00150065984879182	"Mig"	"ZFX"	"AD"
"RNA5-8SN2"	6.64447132505512e-08	-0.714718476030706	0.113	0.169	0.00153806222232376	"Mig"	"RNA5-8SN2"	"AD"
"ND5"	7.23052127699025e-08	-0.5452809135288	0.33	0.41	0.0016737210651977	"Mig"	"ND5"	"AD"
"IFITM2"	7.25211371466418e-08	-0.949654520871264	0.056	0.101	0.00167871928267046	"Mig"	"IFITM2"	"AD"
"SPATA13"	1.03520517982469e-07	-0.587661992984353	0.11	0.167	0.00239629295025819	"Mig"	"SPATA13"	"AD"
"RREB1"	1.03623089708642e-07	-0.385496996157561	0.186	0.253	0.00239866728057565	"Mig"	"RREB1"	"AD"
"RNA5-8SN3"	1.28804222354438e-07	-0.703525000442317	0.116	0.17	0.00298156013906053	"Mig"	"RNA5-8SN3"	"AD"
"ARF6"	1.38216607439199e-07	-0.521497480717875	0.151	0.214	0.00319943802900259	"Mig"	"ARF6"	"AD"
"SRGAP2"	1.50865557683748e-07	0.278378369902973	0.791	0.742	0.00349223592926341	"Mig"	"SRGAP2"	"AD"
"SRSF5"	1.5377207212728e-07	0.189288540096848	0.137	0.082	0.00355951592560227	"Mig"	"SRSF5"	"AD"
"HLA-DQB1"	1.59795222273349e-07	-0.30011586080009	0.078	0.129	0.00369893980518349	"Mig"	"HLA-DQB1"	"AD"
