"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"stage"
"GSTP1"	7.85190822683556e-05	-0.755884029259018	0.36	1	1	"Mig"	"GSTP1"	"40-60"
"APOD"	9.70370049941098e-05	1.30011649094362	0.92	0	1	"Mig"	"APOD"	"40-60"
"S100B"	9.70370049941098e-05	0.899101859135194	0.92	0	1	"Mig"	"S100B"	"40-60"
"EEF1A1"	0.000121159141115739	-0.764858720695779	0.96	1	1	"Mig"	"EEF1A1"	"40-60"
"ATP5E"	0.000129159800047062	-0.0892509319152986	0.12	0.75	1	"Mig"	"ATP5E"	"40-60"
"HCST"	0.000129159800047062	-0.429058240855237	0.12	0.75	1	"Mig"	"HCST"	"40-60"
"TMSB4X"	0.000137330375999724	-1.63476207374099	0.76	1	1	"Mig"	"TMSB4X"	"40-60"
"PTPRZ1"	0.00014585261498318	3.25803633803568	0.92	0.125	1	"Mig"	"PTPRZ1"	"40-60"
"HLA-A"	0.000160318648887373	-0.0292193429347916	0.12	0.75	1	"Mig"	"HLA-A"	"40-60"
"VCAN"	0.000180231479197165	2.46402276596075	0.88	0	1	"Mig"	"VCAN"	"40-60"
"ACTB"	0.000237165405549905	-2.81188664488451	1	1	1	"Mig"	"ACTB"	"40-60"
"CCL3L1"	0.000245220763313457	-0.107584023298299	0	0.5	1	"Mig"	"CCL3L1"	"40-60"
"FPGS"	0.000245220763313457	-0.581278791389825	0	0.5	1	"Mig"	"FPGS"	"40-60"
"HIST1H2BK"	0.000245220763313457	-0.0999578376961752	0	0.5	1	"Mig"	"HIST1H2BK"	"40-60"
"NRP1"	0.000245220763313457	-0.864573409833282	0	0.5	1	"Mig"	"NRP1"	"40-60"
"PLA1A"	0.000245220763313457	-0.0702669187258889	0	0.5	1	"Mig"	"PLA1A"	"40-60"
"TATDN2"	0.000245220763313457	-0.167624366512327	0	0.5	1	"Mig"	"TATDN2"	"40-60"
"TRPV2"	0.000245220763313457	-0.0373900895710842	0	0.5	1	"Mig"	"TRPV2"	"40-60"
"ZNF347"	0.000245220763313457	-0.383803116196817	0	0.5	1	"Mig"	"ZNF347"	"40-60"
"ZNF618"	0.000245220763313457	-0.0537843677976692	0	0.5	1	"Mig"	"ZNF618"	"40-60"
"GSN"	0.000252705273603513	-1.50668070036296	0.68	1	1	"Mig"	"GSN"	"40-60"
"DAGLB"	0.000301627467962805	-2.05875632055269	0.12	0.75	1	"Mig"	"DAGLB"	"40-60"
"DSEL"	0.000324821748204289	0.727611243816256	0.84	0	1	"Mig"	"DSEL"	"40-60"
"ERBB3"	0.000324821748204289	0.141500437142692	0.84	0	1	"Mig"	"ERBB3"	"40-60"
"HMGCR"	0.000324821748204289	0.965670916785843	0.84	0	1	"Mig"	"HMGCR"	"40-60"
"LHFPL3"	0.000324821748204289	1.00382066121891	0.84	0	1	"Mig"	"LHFPL3"	"40-60"
"LOC100132247"	0.000331993955280658	-0.188699201432846	0.16	0.75	1	"Mig"	"LOC100132247"	"40-60"
"ETV5"	0.000394987525259695	0.789746871937233	0.88	0.25	1	"Mig"	"ETV5"	"40-60"
"SCD5"	0.000424714200340482	1.41488346354855	0.92	0.375	1	"Mig"	"SCD5"	"40-60"
"DHRS3"	0.000453496163588597	-1.25871655369721	0.12	0.75	1	"Mig"	"DHRS3"	"40-60"
"SH3BGRL3"	0.000483976283603403	-0.735341907844485	0.52	0.875	1	"Mig"	"SH3BGRL3"	"40-60"
"SEZ6L"	0.000485901509827435	0.672239409723002	0.84	0.125	1	"Mig"	"SEZ6L"	"40-60"
"FYB"	0.000490878644840285	-1.69778774664039	0.16	0.75	1	"Mig"	"FYB"	"40-60"
"TPI1"	0.00049763834394633	-1.52870756662276	0.72	1	1	"Mig"	"TPI1"	"40-60"
"EEF1G"	0.000500730929832491	-0.505698759758382	0.4	0.875	1	"Mig"	"EEF1G"	"40-60"
"GMFG"	0.000527234335957641	-0.260812349411172	0.08	0.625	1	"Mig"	"GMFG"	"40-60"
"HSP90AB4P"	0.000527234335957641	-0.290603707600357	0.08	0.625	1	"Mig"	"HSP90AB4P"	"40-60"
"LUZP2"	0.000568688851116013	1.4373665310594	0.8	0	1	"Mig"	"LUZP2"	"40-60"
"MARCKSL1"	0.000568688851116013	0.257913511452189	0.8	0	1	"Mig"	"MARCKSL1"	"40-60"
"SEMA5A"	0.000568688851116013	1.48696447417994	0.8	0	1	"Mig"	"SEMA5A"	"40-60"
"XYLT1"	0.000568688851116013	0.556129244552277	0.8	0	1	"Mig"	"XYLT1"	"40-60"
"ZNF91"	0.000568688851116013	0.362719500467529	0.8	0	1	"Mig"	"ZNF91"	"40-60"
"CREB5"	0.000569776463340279	1.31100905261613	0.84	0.125	1	"Mig"	"CREB5"	"40-60"
"ELOVL5"	0.000569776463340279	0.704218618689784	0.84	0.125	1	"Mig"	"ELOVL5"	"40-60"
"PER1"	0.000711596109059931	-0.357483558878286	0.28	0.875	1	"Mig"	"PER1"	"40-60"
"B2M"	0.000720449588378129	-1.70736230210294	1	1	1	"Mig"	"B2M"	"40-60"
"PTAFR"	0.00081099442047988	-1.15607456065522	0.08	0.625	1	"Mig"	"PTAFR"	"40-60"
"FLJ39653"	0.000819266630637389	0.0138803910982852	0.12	0.75	1	"Mig"	"FLJ39653"	"40-60"
"IDI1"	0.000831157434632848	1.45727573392917	0.88	0.375	1	"Mig"	"IDI1"	"40-60"
"EEF2"	0.000864630929324327	-0.183139626193592	0.64	1	1	"Mig"	"EEF2"	"40-60"
"DHX36"	0.000896789885824134	1.05560980452415	0.92	0.25	1	"Mig"	"DHX36"	"40-60"
"ARID2"	0.000968376107054674	0.645814211685006	0.76	0	1	"Mig"	"ARID2"	"40-60"
"B3GNT7"	0.000968376107054674	0.421245307603944	0.76	0	1	"Mig"	"B3GNT7"	"40-60"
"C3orf70"	0.000968376107054674	1.6887915616763	0.76	0	1	"Mig"	"C3orf70"	"40-60"
"FLJ43390"	0.000968376107054674	1.36895344721257	0.76	0	1	"Mig"	"FLJ43390"	"40-60"
"MAP4K5"	0.000968376107054674	0.516526641364837	0.76	0	1	"Mig"	"MAP4K5"	"40-60"
"MMP16"	0.000968376107054674	1.19671443260527	0.76	0	1	"Mig"	"MMP16"	"40-60"
"PDGFRA"	0.000968376107054674	1.29263384456977	0.76	0	1	"Mig"	"PDGFRA"	"40-60"
"H1F0"	0.00100094767625348	-0.110846275461669	0.08	0.625	1	"Mig"	"H1F0"	"40-60"
"CCL2"	0.0010412916910142	-1.54486233993585	0.16	0.75	1	"Mig"	"CCL2"	"40-60"
"PPP1R9A"	0.00106872032452108	0.988382650583636	0.8	0.125	1	"Mig"	"PPP1R9A"	"40-60"
"PPP1R15A"	0.00112189256797573	-0.851834482396029	0.32	0.875	1	"Mig"	"PPP1R15A"	"40-60"
"GAPDH"	0.00113024295562444	-2.08149760523499	0.92	1	1	"Mig"	"GAPDH"	"40-60"
"CALR"	0.00123101405415448	-0.342662179007976	0.56	1	1	"Mig"	"CALR"	"40-60"
"WDFY4"	0.00123139919869604	-0.102887134685643	0.08	0.625	1	"Mig"	"WDFY4"	"40-60"
"MDH2"	0.00124133818523121	-0.302397597620037	0.2	0.75	1	"Mig"	"MDH2"	"40-60"
"PIK3AP1"	0.00124133818523121	-0.974560019359707	0.2	0.75	1	"Mig"	"PIK3AP1"	"40-60"
"DNM3"	0.00124340351789732	1.09718766494195	0.8	0.125	1	"Mig"	"DNM3"	"40-60"
"PSAT1"	0.00124340351789732	0.651825524285814	0.8	0.125	1	"Mig"	"PSAT1"	"40-60"
"MSMO1"	0.00129861104155144	1.93806930198625	0.84	0.25	1	"Mig"	"MSMO1"	"40-60"
"HSPB1"	0.00131783532298913	-0.271306686046611	0.12	0.625	1	"Mig"	"HSPB1"	"40-60"
"PCDH9"	0.00135569215912934	2.2453179632031	0.88	0.25	1	"Mig"	"PCDH9"	"40-60"
"BRD2"	0.00138493333842981	-0.0660738044817362	0.04	0.5	1	"Mig"	"BRD2"	"40-60"
"BST2"	0.00138493333842981	-0.827152274857352	0.04	0.5	1	"Mig"	"BST2"	"40-60"
"FABP5"	0.00138493333842981	-0.0117066128069191	0.04	0.5	1	"Mig"	"FABP5"	"40-60"
"SLC10A1"	0.00138493333842981	-0.0659142224220153	0.04	0.5	1	"Mig"	"SLC10A1"	"40-60"
"VPS28"	0.00138493333842981	-1.0547899625588	0.04	0.5	1	"Mig"	"VPS28"	"40-60"
"GPM6A"	0.00142868440970902	1.94144966616865	0.84	0.125	1	"Mig"	"GPM6A"	"40-60"
"CDR1"	0.00144413110291427	0.415246012108313	0.8	0.125	1	"Mig"	"CDR1"	"40-60"
"NAV1"	0.00144413110291427	0.639009311794491	0.8	0.125	1	"Mig"	"NAV1"	"40-60"
"SLAIN1"	0.00144413110291427	0.401647713955841	0.8	0.125	1	"Mig"	"SLAIN1"	"40-60"
"C1QA"	0.00153663975320358	-1.08116650359934	0.28	0.75	1	"Mig"	"C1QA"	"40-60"
"NDUFA3"	0.00159836374733816	-0.173551597621619	0.12	0.625	1	"Mig"	"NDUFA3"	"40-60"
"DUSP10"	0.00160582859434821	0.895573111765507	0.72	0	1	"Mig"	"DUSP10"	"40-60"
"LIMA1"	0.00160582859434821	0.862377704273235	0.72	0	1	"Mig"	"LIMA1"	"40-60"
"PCDH15"	0.00160582859434821	1.21612526354435	0.72	0	1	"Mig"	"PCDH15"	"40-60"
"SCRG1"	0.00160582859434821	0.23325605759625	0.72	0	1	"Mig"	"SCRG1"	"40-60"
"UHRF1BP1L"	0.00160582859434821	0.502423518953969	0.72	0	1	"Mig"	"UHRF1BP1L"	"40-60"
"TNKS"	0.00162252960397602	1.01554700579851	0.92	0.25	1	"Mig"	"TNKS"	"40-60"
"ITGB8"	0.0016552577049175	1.95817274442286	0.8	0.25	1	"Mig"	"ITGB8"	"40-60"
"RASSF2"	0.00166442826471898	1.00606694712923	0.92	0.375	1	"Mig"	"RASSF2"	"40-60"
"SNRPD2"	0.00166564299546882	-0.483495130835409	0.24	0.75	1	"Mig"	"SNRPD2"	"40-60"
"ANK2"	0.00167401934902029	0.756523494351547	0.76	0.125	1	"Mig"	"ANK2"	"40-60"
"FDFT1"	0.00167401934902029	0.517819721659627	0.76	0.125	1	"Mig"	"FDFT1"	"40-60"
"GRIA4"	0.00167435916112922	0.967877055547234	0.8	0.125	1	"Mig"	"GRIA4"	"40-60"
"OLIG1"	0.00167435916112922	0.231955009414593	0.8	0.125	1	"Mig"	"OLIG1"	"40-60"
"SOX2-OT"	0.00167435916112922	0.687266589697672	0.8	0.125	1	"Mig"	"SOX2-OT"	"40-60"
"CTTNBP2"	0.00171930797573312	-0.197434250927202	1	0.375	1	"Mig"	"CTTNBP2"	"40-60"
"GRIA2"	0.00174160624086984	1.26323293324194	0.84	0.25	1	"Mig"	"GRIA2"	"40-60"
"GBP4"	0.00174537938149389	-0.578075681240845	0.04	0.5	1	"Mig"	"GBP4"	"40-60"
"PLK3"	0.00174537938149389	-0.478551343663539	0.04	0.5	1	"Mig"	"PLK3"	"40-60"
"RSRC1"	0.00178285247325581	-0.269632658026147	0.16	0.75	1	"Mig"	"RSRC1"	"40-60"
"GPX4"	0.00180826889816483	-0.59286306115669	0.28	0.75	1	"Mig"	"GPX4"	"40-60"
"ADORA2A"	0.00183371853783412	-0.0160563035141633	0	0.375	1	"Mig"	"ADORA2A"	"40-60"
"ARL2"	0.00183371853783412	-0.033688613644189	0	0.375	1	"Mig"	"ARL2"	"40-60"
"ARNTL2"	0.00183371853783412	-0.0274122162962182	0	0.375	1	"Mig"	"ARNTL2"	"40-60"
"C17orf49"	0.00183371853783412	-0.0995069897023477	0	0.375	1	"Mig"	"C17orf49"	"40-60"
"CCNE1"	0.00183371853783412	-0.0927104842519908	0	0.375	1	"Mig"	"CCNE1"	"40-60"
"COBLL1"	0.00183371853783412	-0.561473845945508	0	0.375	1	"Mig"	"COBLL1"	"40-60"
"DRAP1"	0.00183371853783412	-0.0305891616500073	0	0.375	1	"Mig"	"DRAP1"	"40-60"
"EHD2"	0.00183371853783412	-0.0540554809578278	0	0.375	1	"Mig"	"EHD2"	"40-60"
"ITGA6"	0.00183371853783412	-0.57146090563896	0	0.375	1	"Mig"	"ITGA6"	"40-60"
"JUP"	0.00183371853783412	-0.0190291108139633	0	0.375	1	"Mig"	"JUP"	"40-60"
"LIMK1"	0.00183371853783412	-0.0667306867339476	0	0.375	1	"Mig"	"LIMK1"	"40-60"
"LOC100302650"	0.00183371853783412	-0.0234677977939188	0	0.375	1	"Mig"	"LOC100302650"	"40-60"
"LOC642361"	0.00183371853783412	-0.0766328834096304	0	0.375	1	"Mig"	"LOC642361"	"40-60"
"MAML3"	0.00183371853783412	-0.428093116102343	0	0.375	1	"Mig"	"MAML3"	"40-60"
"MTCP1NB"	0.00183371853783412	-0.0129266846398609	0	0.375	1	"Mig"	"MTCP1NB"	"40-60"
"NUPR1"	0.00183371853783412	-0.427194550124641	0	0.375	1	"Mig"	"NUPR1"	"40-60"
"NUSAP1"	0.00183371853783412	-0.00422560130507223	0	0.375	1	"Mig"	"NUSAP1"	"40-60"
"RILPL2"	0.00183371853783412	-0.0400219465666001	0	0.375	1	"Mig"	"RILPL2"	"40-60"
"SCAND1"	0.00183371853783412	-0.0325268028866883	0	0.375	1	"Mig"	"SCAND1"	"40-60"
"SENP1"	0.00183371853783412	-0.005835815214761	0	0.375	1	"Mig"	"SENP1"	"40-60"
"SNHG9"	0.00183371853783412	-0.00465577086534746	0	0.375	1	"Mig"	"SNHG9"	"40-60"
"SQRDL"	0.00183371853783412	-0.0620374047733787	0	0.375	1	"Mig"	"SQRDL"	"40-60"
"SSNA1"	0.00183371853783412	-0.801392196426425	0	0.375	1	"Mig"	"SSNA1"	"40-60"
"TEX14"	0.00183371853783412	-0.17404054748629	0	0.375	1	"Mig"	"TEX14"	"40-60"
"TMEM120A"	0.00183371853783412	-0.0282097462923475	0	0.375	1	"Mig"	"TMEM120A"	"40-60"
"TXLNG2P"	0.00183371853783412	-0.0995229012571529	0	0.375	1	"Mig"	"TXLNG2P"	"40-60"
"UTY"	0.00183371853783412	-0.140482402982535	0	0.375	1	"Mig"	"UTY"	"40-60"
"ZNF7"	0.00183371853783412	-0.829542876395467	0	0.375	1	"Mig"	"ZNF7"	"40-60"
"AAMP"	0.00193296558818565	-0.422523847450444	0.12	0.625	1	"Mig"	"AAMP"	"40-60"
"NRCAM"	0.00193793445276346	1.31259295118761	0.8	0.125	1	"Mig"	"NRCAM"	"40-60"
"BEX4"	0.00193949398863262	0.696677868572434	0.76	0.125	1	"Mig"	"BEX4"	"40-60"
"GNPTAB"	0.00193949398863262	0.373799298814233	0.76	0.125	1	"Mig"	"GNPTAB"	"40-60"
"TP53BP1"	0.00193949398863262	0.551615326920882	0.76	0.125	1	"Mig"	"TP53BP1"	"40-60"
"DNMT3A"	0.00219035056755776	-0.94677522673726	0.04	0.5	1	"Mig"	"DNMT3A"	"40-60"
"LINC00152"	0.00219035056755776	-0.258780285104869	0.04	0.5	1	"Mig"	"LINC00152"	"40-60"
"H3F3C"	0.00222643135535501	-0.0990257352760383	0.32	0.75	1	"Mig"	"H3F3C"	"40-60"
"PHYHIPL"	0.00224313527998455	0.632764743593042	0.76	0.125	1	"Mig"	"PHYHIPL"	"40-60"
"TMEM30A"	0.00231994817624061	0.635378688358858	0.84	0.25	1	"Mig"	"TMEM30A"	"40-60"
"B4GALT1"	0.00256565208074502	-0.890317743050798	0.48	0.875	1	"Mig"	"B4GALT1"	"40-60"
"UBA52"	0.00258977849691228	-0.302702056592078	0.52	0.875	1	"Mig"	"UBA52"	"40-60"
"C8orf46"	0.00259657102026264	0.414364465615048	0.68	0	1	"Mig"	"C8orf46"	"40-60"
"CDH2"	0.00259657102026264	0.467028214658194	0.68	0	1	"Mig"	"CDH2"	"40-60"
"DNAJA2"	0.00259657102026264	0.322281540066106	0.68	0	1	"Mig"	"DNAJA2"	"40-60"
"LPPR1"	0.00259657102026264	0.738793692012478	0.68	0	1	"Mig"	"LPPR1"	"40-60"
"LRP4"	0.00259657102026264	0.555626406259413	0.68	0	1	"Mig"	"LRP4"	"40-60"
"PEG3"	0.00259657102026264	0.786902124241941	0.68	0	1	"Mig"	"PEG3"	"40-60"
"PHACTR3"	0.00259657102026264	0.273902362400355	0.68	0	1	"Mig"	"PHACTR3"	"40-60"
"RAB3IP"	0.00259657102026264	0.720251077452234	0.68	0	1	"Mig"	"RAB3IP"	"40-60"
"SPOCK1"	0.00259657102026264	0.786553985453895	0.68	0	1	"Mig"	"SPOCK1"	"40-60"
"HLA-C"	0.00265017565097406	-0.455651626524476	0.36	0.75	1	"Mig"	"HLA-C"	"40-60"
"BIN1"	0.00271581997959597	-0.554840437486619	0.16	0.625	1	"Mig"	"BIN1"	"40-60"
"IFITM2"	0.00271581997959597	-0.378660686242813	0.16	0.625	1	"Mig"	"IFITM2"	"40-60"
"LOC644961"	0.00271581997959597	-0.0279642568835184	0.16	0.625	1	"Mig"	"LOC644961"	"40-60"
"PTPN6"	0.00271581997959597	-1.22983020277541	0.16	0.625	1	"Mig"	"PTPN6"	"40-60"
"PARVB"	0.0027371851265987	-0.0159527391581349	0.04	0.5	1	"Mig"	"PARVB"	"40-60"
"ATP8B4"	0.00280241278291456	-0.200393080276334	0.12	0.625	1	"Mig"	"ATP8B4"	"40-60"
"C10orf54"	0.00289302845785759	-0.989238318931726	0.2	0.75	1	"Mig"	"C10orf54"	"40-60"
"MGAT1"	0.00290954179868969	-0.501890959624602	0.28	0.75	1	"Mig"	"MGAT1"	"40-60"
"LRP1B"	0.00293199233162131	0.777566005455378	0.8	0.25	1	"Mig"	"LRP1B"	"40-60"
"RNF13"	0.00293199233162131	0.39684438276272	0.84	0.125	1	"Mig"	"RNF13"	"40-60"
"TERF2IP"	0.00293199233162131	0.523018636055506	0.8	0.25	1	"Mig"	"TERF2IP"	"40-60"
"GCC2"	0.00296072680574605	-0.694670293535847	0.48	0.875	1	"Mig"	"GCC2"	"40-60"
"SLC35F1"	0.00296072680574605	1.73421024663325	0.72	0.125	1	"Mig"	"SLC35F1"	"40-60"
"SOX6"	0.00296072680574605	0.735257754571531	0.72	0.125	1	"Mig"	"SOX6"	"40-60"
"CITED2"	0.0029849144276155	-0.0597162930443161	0.16	0.75	1	"Mig"	"CITED2"	"40-60"
"PSAP"	0.00324997706029673	-2.55372201146059	0.88	0.875	1	"Mig"	"PSAP"	"40-60"
"GPM6B"	0.00327900955087483	0.923172963047559	0.92	0.25	1	"Mig"	"GPM6B"	"40-60"
"CD74"	0.00336811797047217	-3.82295699298782	0.6	0.875	1	"Mig"	"CD74"	"40-60"
"SATB1"	0.00336811797047217	0.623551574044508	0.8	0.25	1	"Mig"	"SATB1"	"40-60"
"C1QC"	0.00339504990405904	-0.683503387392027	0.28	0.75	1	"Mig"	"C1QC"	"40-60"
"GJA1"	0.0034061640799797	-0.167040543146224	0.04	0.5	1	"Mig"	"GJA1"	"40-60"
"PTGS2"	0.0034061640799797	0.0932472018564767	0.04	0.5	1	"Mig"	"PTGS2"	"40-60"
"TMEM41B"	0.00341058367497241	0.905061626934706	0.72	0.125	1	"Mig"	"TMEM41B"	"40-60"
"ATP6V1F"	0.00343401114534859	-0.272758669696772	0.52	0.875	1	"Mig"	"ATP6V1F"	"40-60"
"CADM2"	0.00343401114534859	1.01090989857851	0.76	0.125	1	"Mig"	"CADM2"	"40-60"
"PIP4K2A"	0.00365065347639987	1.31657010787595	0.88	0.25	1	"Mig"	"PIP4K2A"	"40-60"
"TSC22D2"	0.00383852688264832	-0.849138722963347	0.72	1	1	"Mig"	"TSC22D2"	"40-60"
"FCGR3A"	0.00383873219959082	-0.386121492779957	0.16	0.625	1	"Mig"	"FCGR3A"	"40-60"
"TREM2"	0.00383873219959082	-1.25423176551484	0.16	0.625	1	"Mig"	"TREM2"	"40-60"
"NEDD9"	0.00386254886544377	-1.95602259054038	0.6	0.875	1	"Mig"	"NEDD9"	"40-60"
"ETV1"	0.00392184168644291	0.627836988007848	0.72	0.125	1	"Mig"	"ETV1"	"40-60"
"KPNA1"	0.00392184168644291	0.408452382711409	0.72	0.125	1	"Mig"	"KPNA1"	"40-60"
"PRKCA"	0.00392184168644291	0.786548193368655	0.72	0.125	1	"Mig"	"PRKCA"	"40-60"
"ATP2B4"	0.00394399080762916	0.638403998342007	0.76	0.125	1	"Mig"	"ATP2B4"	"40-60"
"ATXN2"	0.00394399080762916	0.299718364724771	0.76	0.125	1	"Mig"	"ATXN2"	"40-60"
"RASSF4"	0.00408561369753264	-2.11860393965397	0.32	0.75	1	"Mig"	"RASSF4"	"40-60"
"C2orf77"	0.00409935612900286	0.295988695359408	0.64	0	1	"Mig"	"C2orf77"	"40-60"
"CA10"	0.00409935612900286	0.38209399603758	0.64	0	1	"Mig"	"CA10"	"40-60"
"CRYAB"	0.00409935612900286	0.153204323553984	0.64	0	1	"Mig"	"CRYAB"	"40-60"
"FAM5C"	0.00409935612900286	0.211070441854692	0.64	0	1	"Mig"	"FAM5C"	"40-60"
"FAU"	0.00409935612900286	-0.32568904608116	0.4	0.75	1	"Mig"	"FAU"	"40-60"
"FOXG1"	0.00409935612900286	0.417948085805987	0.64	0	1	"Mig"	"FOXG1"	"40-60"
"LPPR5"	0.00409935612900286	0.145834848962135	0.64	0	1	"Mig"	"LPPR5"	"40-60"
"MEGF11"	0.00409935612900286	0.840607933544928	0.64	0	1	"Mig"	"MEGF11"	"40-60"
"PLEKHH2"	0.00409935612900286	0.593044911805832	0.64	0	1	"Mig"	"PLEKHH2"	"40-60"
"SERPINE2"	0.00409935612900286	0.379540513470079	0.64	0	1	"Mig"	"SERPINE2"	"40-60"
"SUMF2"	0.00409935612900286	-0.175101411785144	0.36	0.875	1	"Mig"	"SUMF2"	"40-60"
"UNC79"	0.00409935612900286	0.224604680461656	0.64	0	1	"Mig"	"UNC79"	"40-60"
"UNC80"	0.00409935612900286	0.722880433921591	0.64	0	1	"Mig"	"UNC80"	"40-60"
"ZCCHC24"	0.00409935612900286	0.102191809519406	0.64	0	1	"Mig"	"ZCCHC24"	"40-60"
"C7orf59"	0.00434888469518346	-0.872847530306121	0.24	0.75	1	"Mig"	"C7orf59"	"40-60"
"HSP90AA4P"	0.00438666610363378	0.0576887983094766	0.92	0.375	1	"Mig"	"HSP90AA4P"	"40-60"
"HOOK3"	0.00442205396494579	1.06578348077249	0.8	0.25	1	"Mig"	"HOOK3"	"40-60"
"MAP2"	0.00442205396494579	0.474157586845062	0.76	0.375	1	"Mig"	"MAP2"	"40-60"
"FAM32A"	0.00449282409652837	-0.0181968816140973	0.08	0.5	1	"Mig"	"FAM32A"	"40-60"
"MITD1"	0.00449282409652837	-0.084610395284348	0.08	0.5	1	"Mig"	"MITD1"	"40-60"
"MYO15B"	0.00449282409652837	-0.0857378891880804	0.08	0.5	1	"Mig"	"MYO15B"	"40-60"
"NDUFB11"	0.00449282409652837	-0.0940021758480109	0.08	0.5	1	"Mig"	"NDUFB11"	"40-60"
"CAPN2"	0.0045017729965395	0.248838306634442	0.72	0.125	1	"Mig"	"CAPN2"	"40-60"
"SLITRK2"	0.0045017729965395	0.610653592649426	0.72	0.125	1	"Mig"	"SLITRK2"	"40-60"
"CLDND1"	0.00450686295270568	1.36019710771989	0.96	0.5	1	"Mig"	"CLDND1"	"40-60"
"FAM49A"	0.00452183543646908	0.644995659996301	0.76	0.125	1	"Mig"	"FAM49A"	"40-60"
"GPR37L1"	0.00452183543646908	0.0350120036533492	0.76	0.125	1	"Mig"	"GPR37L1"	"40-60"
"C1QB"	0.00459356524783301	-1.99241040818332	0.28	0.75	1	"Mig"	"C1QB"	"40-60"
"IFITM3"	0.00459356524783301	-1.30314039972191	0.28	0.75	1	"Mig"	"IFITM3"	"40-60"
"INPP5B"	0.0048873260121956	-0.475093134890237	0.2	0.625	1	"Mig"	"INPP5B"	"40-60"
"ARPP19"	0.00505403924864586	0.870728484853629	0.84	0.125	1	"Mig"	"ARPP19"	"40-60"
"LUC7L2"	0.00505403924864586	0.228889101390537	0.76	0.375	1	"Mig"	"LUC7L2"	"40-60"
"RUFY3"	0.00505403924864586	1.29128380233664	0.8	0.25	1	"Mig"	"RUFY3"	"40-60"
"SMAD2"	0.00505403924864586	1.39257209057889	0.76	0.375	1	"Mig"	"SMAD2"	"40-60"
"ADD3"	0.00508095140455236	0.800031173569204	0.68	0.125	1	"Mig"	"ADD3"	"40-60"
"KIF3A"	0.00508095140455236	0.578693721977602	0.68	0.125	1	"Mig"	"KIF3A"	"40-60"
"PMP2"	0.00508095140455236	1.34284794056347	0.68	0.125	1	"Mig"	"PMP2"	"40-60"
"WBP4"	0.00508095140455236	0.320983545957389	0.68	0.125	1	"Mig"	"WBP4"	"40-60"
"COL11A1"	0.00517534717272526	0.901238347602716	0.76	0.125	1	"Mig"	"COL11A1"	"40-60"
"ST6GAL1"	0.00517534717272526	-2.02350526123644	0.52	0.875	1	"Mig"	"ST6GAL1"	"40-60"
"UBB"	0.00521315556728848	-1.40658673273956	0.96	1	1	"Mig"	"UBB"	"40-60"
"CFL1"	0.00523474856901528	-0.280325239886839	0.72	0.875	1	"Mig"	"CFL1"	"40-60"
"ARHGDIB"	0.00532641780270476	-1.37244869354666	0.28	0.75	1	"Mig"	"ARHGDIB"	"40-60"
"CERK"	0.00545489849356346	-0.170860797265676	0.08	0.5	1	"Mig"	"CERK"	"40-60"
"PHACTR2"	0.00545489849356346	-1.22236724841497	0.08	0.5	1	"Mig"	"PHACTR2"	"40-60"
