"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"region"	"gender"
"TMTC2"	9.51837731658335e-49	0.849476557704417	0.376	0.119	3.19731812441351e-44	"Ast"	"TMTC2"	"brain region: Entorhinal cortex"	"male"
"SLC6A1-AS1"	1.80040680366169e-48	1.07798282085118	0.228	0.028	6.04774649417998e-44	"Ast"	"SLC6A1-AS1"	"brain region: Entorhinal cortex"	"male"
"FGFR3"	2.53115351826328e-48	-1.35255858330746	0.323	0.473	8.50239778319819e-44	"Ast"	"FGFR3"	"brain region: Entorhinal cortex"	"male"
"PPP1R9A"	4.02133601694216e-48	0.942203963756313	0.304	0.074	1.35080698145104e-43	"Ast"	"PPP1R9A"	"brain region: Entorhinal cortex"	"male"
"DLC1"	4.13880852704374e-48	0.764503231223512	0.439	0.168	1.39026717231926e-43	"Ast"	"DLC1"	"brain region: Entorhinal cortex"	"male"
"KNOP1"	5.32970971224316e-48	1.25931452320717	0.209	0.018	1.7903027894396e-43	"Ast"	"KNOP1"	"brain region: Entorhinal cortex"	"male"
"LRP4"	8.2130984549512e-48	0.588250910486324	0.596	0.275	2.75886190200266e-43	"Ast"	"LRP4"	"brain region: Entorhinal cortex"	"male"
"RBM6"	3.64069471951906e-47	0.77009199500391	0.342	0.099	1.22294576323365e-42	"Ast"	"RBM6"	"brain region: Entorhinal cortex"	"male"
"TRPM3"	1.10900178019751e-46	0.530988338978541	0.593	0.272	3.72524787986144e-42	"Ast"	"TRPM3"	"brain region: Entorhinal cortex"	"male"
"MT1M"	2.80593523932085e-46	1.1770633040812	0.213	0.023	9.42541706240265e-42	"Ast"	"MT1M"	"brain region: Entorhinal cortex"	"male"
"RAPGEF3"	1.37328951165047e-45	-1.4634494058855	0.17	0.327	4.6130167985851e-41	"Ast"	"RAPGEF3"	"brain region: Entorhinal cortex"	"male"
"SRSF5"	6.32761586178294e-45	0.661495885643695	0.284	0.065	2.12550944413151e-40	"Ast"	"SRSF5"	"brain region: Entorhinal cortex"	"male"
"HSP90AA1"	6.44013541465407e-45	1.29338118435874	0.285	0.072	2.16330588713645e-40	"Ast"	"HSP90AA1"	"brain region: Entorhinal cortex"	"male"
"NEAT1"	2.08532933502022e-44	0.764557454529241	0.74	0.463	7.00482976926643e-40	"Ast"	"NEAT1"	"brain region: Entorhinal cortex"	"male"
"NUMB"	3.33049647826991e-44	0.719446362873815	0.279	0.065	1.11874707201565e-39	"Ast"	"NUMB"	"brain region: Entorhinal cortex"	"male"
"GNA14-AS1"	5.04345720935189e-44	1.32131077339252	0.256	0.055	1.69414771119339e-39	"Ast"	"GNA14-AS1"	"brain region: Entorhinal cortex"	"male"
"HSPA1A"	1.12645044466473e-43	1.35273106255924	0.21	0.027	3.7838596886733e-39	"Ast"	"HSPA1A"	"brain region: Entorhinal cortex"	"male"
"MGST1"	1.61916455097498e-43	0.66840334074829	0.323	0.094	5.43893564318005e-39	"Ast"	"MGST1"	"brain region: Entorhinal cortex"	"male"
"IPO9-AS1"	4.06089125753002e-43	1.23770938172845	0.176	0.01	1.36409398231691e-38	"Ast"	"IPO9-AS1"	"brain region: Entorhinal cortex"	"male"
"WSB1"	1.1237550852144e-42	0.687825151279164	0.278	0.067	3.7748057067437e-38	"Ast"	"WSB1"	"brain region: Entorhinal cortex"	"male"
"AC016831.7"	3.39954872369361e-41	0.906885735393528	0.215	0.033	1.14194241177592e-36	"Ast"	"AC016831.7"	"brain region: Entorhinal cortex"	"male"
"SSBP2"	7.98112219727477e-41	0.626868510243028	0.281	0.072	2.68093875728657e-36	"Ast"	"SSBP2"	"brain region: Entorhinal cortex"	"male"
"TMEM161B-AS1"	1.91000468163864e-40	0.610855577972509	0.349	0.116	6.41589672609235e-36	"Ast"	"TMEM161B-AS1"	"brain region: Entorhinal cortex"	"male"
"MALRD1"	1.92661568854946e-40	0.859600844301023	0.21	0.032	6.4716947594065e-36	"Ast"	"MALRD1"	"brain region: Entorhinal cortex"	"male"
"GPC1"	3.43550450401567e-40	-1.4057421475057	0.13	0.271	1.1540203179439e-35	"Ast"	"GPC1"	"brain region: Entorhinal cortex"	"male"
"PNISR"	4.81107222352732e-40	0.490875269689168	0.447	0.182	1.61608727060506e-35	"Ast"	"PNISR"	"brain region: Entorhinal cortex"	"male"
"ST8SIA1"	4.90017764266351e-40	1.05211308040543	0.196	0.026	1.6460186719471e-35	"Ast"	"ST8SIA1"	"brain region: Entorhinal cortex"	"male"
"PRKD1"	9.80638709492188e-40	0.791280454739507	0.259	0.063	3.29406348905521e-35	"Ast"	"PRKD1"	"brain region: Entorhinal cortex"	"male"
"A2ML1-AS1"	2.30278485971134e-39	1.12772460344937	0.152	0.004	7.73528462225636e-35	"Ast"	"A2ML1-AS1"	"brain region: Entorhinal cortex"	"male"
"IMMP2L"	3.51643469770957e-39	0.729624268596931	0.283	0.079	1.18120557930762e-34	"Ast"	"IMMP2L"	"brain region: Entorhinal cortex"	"male"
"MT1G"	4.20037234963625e-39	1.33217884777233	0.173	0.015	1.41094707596631e-34	"Ast"	"MT1G"	"brain region: Entorhinal cortex"	"male"
"MED12L"	4.2981128224793e-39	0.678908319259464	0.314	0.098	1.44377907819902e-34	"Ast"	"MED12L"	"brain region: Entorhinal cortex"	"male"
"RFX4"	4.56801873767446e-39	0.431521109348649	0.455	0.187	1.53444317417223e-34	"Ast"	"RFX4"	"brain region: Entorhinal cortex"	"male"
"ENC1"	6.39367228984029e-39	-1.47964351303394	0.046	0.145	2.14769845888025e-34	"Ast"	"ENC1"	"brain region: Entorhinal cortex"	"male"
"TPST1"	7.53848655723647e-39	0.936459365681704	0.319	0.109	2.5322530194413e-34	"Ast"	"TPST1"	"brain region: Entorhinal cortex"	"male"
"SLC39A11"	9.89856103950781e-39	0.449979454471352	0.393	0.147	3.32502563878107e-34	"Ast"	"SLC39A11"	"brain region: Entorhinal cortex"	"male"
"PDZRN3"	1.16123762594005e-38	0.808286567576389	0.238	0.052	3.90071330929524e-34	"Ast"	"PDZRN3"	"brain region: Entorhinal cortex"	"male"
"ANK2"	1.86539399148964e-38	0.438638199880435	0.601	0.296	6.26604495681285e-34	"Ast"	"ANK2"	"brain region: Entorhinal cortex"	"male"
"RP11-77K12.4"	2.30066436756358e-38	1.3298440760322	0.151	0.005	7.72816167708282e-34	"Ast"	"RP11-77K12.4"	"brain region: Entorhinal cortex"	"male"
"CRYAB"	2.64411352970243e-38	1.20336300675365	0.2	0.031	8.88184175762344e-34	"Ast"	"CRYAB"	"brain region: Entorhinal cortex"	"male"
"CHD5"	2.94641122150086e-38	-1.37875285724752	0.031	0.116	9.89728993414355e-34	"Ast"	"CHD5"	"brain region: Entorhinal cortex"	"male"
"CH17-189H20.1"	4.3951515145769e-38	0.594127764934226	0.33	0.11	1.47637534526153e-33	"Ast"	"CH17-189H20.1"	"brain region: Entorhinal cortex"	"male"
"SOD2"	9.30215084092087e-38	1.04075174888492	0.219	0.044	3.12468548897373e-33	"Ast"	"SOD2"	"brain region: Entorhinal cortex"	"male"
"PON2"	9.71643477525844e-38	0.547515807459847	0.332	0.111	3.26384760535706e-33	"Ast"	"PON2"	"brain region: Entorhinal cortex"	"male"
"SLC25A26"	1.05870833899115e-37	0.967007255267377	0.169	0.015	3.55630718150517e-33	"Ast"	"SLC25A26"	"brain region: Entorhinal cortex"	"male"
"RANBP3L"	3.73955000014132e-37	0.728701856973376	0.304	0.098	1.25615224054747e-32	"Ast"	"RANBP3L"	"brain region: Entorhinal cortex"	"male"
"XPO1"	4.84284936266709e-37	0.688023012813317	0.218	0.043	1.6267615294135e-32	"Ast"	"XPO1"	"brain region: Entorhinal cortex"	"male"
"DST"	6.68997276321164e-37	0.691128344783689	0.691	0.406	2.24722875089042e-32	"Ast"	"DST"	"brain region: Entorhinal cortex"	"male"
"ALDH1A1"	9.99589811923881e-37	0.871622000104859	0.189	0.028	3.35772213723351e-32	"Ast"	"ALDH1A1"	"brain region: Entorhinal cortex"	"male"
"SLC9A9"	1.69028692065394e-36	0.55767806102854	0.262	0.07	5.67784279516865e-32	"Ast"	"SLC9A9"	"brain region: Entorhinal cortex"	"male"
"FBXL7"	3.68580160566279e-36	0.426047968660425	0.502	0.233	1.23809761735819e-31	"Ast"	"FBXL7"	"brain region: Entorhinal cortex"	"male"
"NCAM2"	3.84176093526766e-36	0.513604676715326	0.517	0.249	1.29048591576576e-31	"Ast"	"NCAM2"	"brain region: Entorhinal cortex"	"male"
"LINC01138"	4.17687802067643e-36	0.46518717141103	0.245	0.06	1.40305509592542e-31	"Ast"	"LINC01138"	"brain region: Entorhinal cortex"	"male"
"COLEC12"	6.23803205756661e-36	0.709538376183201	0.249	0.065	2.0954173484572e-31	"Ast"	"COLEC12"	"brain region: Entorhinal cortex"	"male"
"B2M"	8.37729891736373e-36	1.15723916664491	0.155	0.011	2.81401847933165e-31	"Ast"	"B2M"	"brain region: Entorhinal cortex"	"male"
"LINC00609"	1.18953649911749e-35	0.868100512140407	0.216	0.046	3.99577205418558e-31	"Ast"	"LINC00609"	"brain region: Entorhinal cortex"	"male"
"MED13L"	1.35947075227092e-35	0.543676206438947	0.329	0.116	4.56659820395324e-31	"Ast"	"MED13L"	"brain region: Entorhinal cortex"	"male"
"SLC17A7"	2.482177435641e-35	-1.25372277292459	0.043	0.135	8.33788222406169e-31	"Ast"	"SLC17A7"	"brain region: Entorhinal cortex"	"male"
"FTL"	3.60950721103736e-35	0.646520247094796	0.382	0.154	1.21246956725956e-30	"Ast"	"FTL"	"brain region: Entorhinal cortex"	"male"
"IFI16"	4.02707029472046e-35	1.3000879774784	0.157	0.014	1.35273318269955e-30	"Ast"	"IFI16"	"brain region: Entorhinal cortex"	"male"
"RORA-AS1"	4.79091711095062e-35	1.0285892748086	0.145	0.008	1.60931696673942e-30	"Ast"	"RORA-AS1"	"brain region: Entorhinal cortex"	"male"
"RNF19B"	5.06475858026691e-35	0.934727179946012	0.201	0.039	1.70130305469746e-30	"Ast"	"RNF19B"	"brain region: Entorhinal cortex"	"male"
"ENTPD1-AS1"	6.09119470819333e-35	0.647844904172647	0.247	0.066	2.04609321442922e-30	"Ast"	"ENTPD1-AS1"	"brain region: Entorhinal cortex"	"male"
"HNRNPDL"	1.06837619716324e-34	0.593066342267963	0.234	0.057	3.58878248389102e-30	"Ast"	"HNRNPDL"	"brain region: Entorhinal cortex"	"male"
"NFIB"	1.3496821252814e-34	0.511851703273938	0.387	0.157	4.53371722703277e-30	"Ast"	"NFIB"	"brain region: Entorhinal cortex"	"male"
"GGPS1"	1.40036257095895e-34	1.1580682340619	0.147	0.01	4.70395791210821e-30	"Ast"	"GGPS1"	"brain region: Entorhinal cortex"	"male"
"ITM2C"	2.95486013017766e-34	0.696922668531518	0.232	0.058	9.92567066327978e-30	"Ast"	"ITM2C"	"brain region: Entorhinal cortex"	"male"
"RP11-197K3.1"	3.04409543560236e-34	0.862667247313821	0.177	0.027	1.02254209777319e-29	"Ast"	"RP11-197K3.1"	"brain region: Entorhinal cortex"	"male"
"TF"	6.62666162347937e-34	0.717049941517769	0.166	0.02	2.22596190594295e-29	"Ast"	"TF"	"brain region: Entorhinal cortex"	"male"
"SPDYE2"	8.48489161877373e-34	0.940600206335958	0.129	0.002	2.85015994366228e-29	"Ast"	"SPDYE2"	"brain region: Entorhinal cortex"	"male"
"MT-ND4"	1.00325406701613e-33	-0.670268324740833	0.511	0.641	3.37003073651387e-29	"Ast"	"MT-ND4"	"brain region: Entorhinal cortex"	"male"
"NCOA1"	1.00835387987655e-33	0.373591618979211	0.43	0.182	3.38716151789332e-29	"Ast"	"NCOA1"	"brain region: Entorhinal cortex"	"male"
"TCF24"	1.18980266732104e-33	0.886582769831025	0.153	0.014	3.99666613979811e-29	"Ast"	"TCF24"	"brain region: Entorhinal cortex"	"male"
"H3F3B"	1.25139605290204e-33	0.862911663981967	0.226	0.057	4.20356448130325e-29	"Ast"	"H3F3B"	"brain region: Entorhinal cortex"	"male"
"CD44"	1.3483207774886e-33	0.965261698529412	0.183	0.031	4.52914432366195e-29	"Ast"	"CD44"	"brain region: Entorhinal cortex"	"male"
"PLXDC2"	1.36900203352453e-33	0.502104239035167	0.315	0.11	4.59861473081224e-29	"Ast"	"PLXDC2"	"brain region: Entorhinal cortex"	"male"
"TAB2"	1.75448828519725e-33	0.583450921292669	0.246	0.068	5.89350159880607e-29	"Ast"	"TAB2"	"brain region: Entorhinal cortex"	"male"
"FAM182B"	3.20969029618778e-33	0.616485100525789	0.211	0.047	1.07816706739244e-28	"Ast"	"FAM182B"	"brain region: Entorhinal cortex"	"male"
"NSMF"	4.38816851531388e-33	-1.3911077891822	0.158	0.286	1.47402968597909e-28	"Ast"	"NSMF"	"brain region: Entorhinal cortex"	"male"
"RAPH1"	4.98288439884124e-33	0.699716163169552	0.17	0.025	1.67380069841476e-28	"Ast"	"RAPH1"	"brain region: Entorhinal cortex"	"male"
"MACF1"	5.39245608972877e-33	0.568475079864669	0.69	0.423	1.81137992510079e-28	"Ast"	"MACF1"	"brain region: Entorhinal cortex"	"male"
"CRLF3"	9.57836711265081e-33	0.747452267411117	0.169	0.024	3.21746929681054e-28	"Ast"	"CRLF3"	"brain region: Entorhinal cortex"	"male"
"ITPKB-AS1"	1.14522576375326e-32	1.04111918997233	0.124	0.001	3.84692786302359e-28	"Ast"	"ITPKB-AS1"	"brain region: Entorhinal cortex"	"male"
"MYRIP"	1.49495103547832e-32	0.868929747766485	0.165	0.023	5.02169002327522e-28	"Ast"	"MYRIP"	"brain region: Entorhinal cortex"	"male"
"BIRC6-AS2"	1.96893775373229e-32	0.964628718110797	0.126	0.003	6.61385880856213e-28	"Ast"	"BIRC6-AS2"	"brain region: Entorhinal cortex"	"male"
"SYN1"	2.18898415622473e-32	-1.2297843195872	0.043	0.13	7.35301667917449e-28	"Ast"	"SYN1"	"brain region: Entorhinal cortex"	"male"
"MARCH6"	2.37088374267847e-32	0.52188724695123	0.221	0.054	7.96403558003124e-28	"Ast"	"MARCH6"	"brain region: Entorhinal cortex"	"male"
"HMGB1"	2.44408147911663e-32	0.23674043058161	0.315	0.11	8.20991409650069e-28	"Ast"	"HMGB1"	"brain region: Entorhinal cortex"	"male"
"BMPR1B"	3.56031436653805e-32	0.369593054054446	0.381	0.158	1.1959451988638e-27	"Ast"	"BMPR1B"	"brain region: Entorhinal cortex"	"male"
"DPP10"	5.58737442912123e-32	0.474895744300676	0.844	0.688	1.87685494448611e-27	"Ast"	"DPP10"	"brain region: Entorhinal cortex"	"male"
"HMGN3"	7.35492130332756e-32	0.681528751374594	0.189	0.037	2.47059161500076e-27	"Ast"	"HMGN3"	"brain region: Entorhinal cortex"	"male"
"DDX5"	7.50185765761335e-32	0.46988551785071	0.242	0.068	2.5199490057689e-27	"Ast"	"DDX5"	"brain region: Entorhinal cortex"	"male"
"ID3"	7.52918287403099e-32	1.16733752383277	0.136	0.009	2.52912781921575e-27	"Ast"	"ID3"	"brain region: Entorhinal cortex"	"male"
"AP000304.12"	7.68408378263799e-32	0.932818159759934	0.15	0.016	2.58116058342593e-27	"Ast"	"AP000304.12"	"brain region: Entorhinal cortex"	"male"
"NBPF19"	1.13122438944989e-31	0.478065962170133	0.235	0.065	3.79989584660113e-27	"Ast"	"NBPF19"	"brain region: Entorhinal cortex"	"male"
"BAALC-AS1"	1.24176775461822e-31	0.784270298924799	0.157	0.02	4.17122206453807e-27	"Ast"	"BAALC-AS1"	"brain region: Entorhinal cortex"	"male"
"HSPA1B"	1.33792608328907e-31	1.06020816417917	0.166	0.026	4.49422750637631e-27	"Ast"	"HSPA1B"	"brain region: Entorhinal cortex"	"male"
"MT-ATP6"	1.8139769124119e-31	-0.845309287833613	0.373	0.508	6.0933298464828e-27	"Ast"	"MT-ATP6"	"brain region: Entorhinal cortex"	"male"
"BMPR1A"	1.98305100594982e-31	0.538717404479216	0.25	0.074	6.66126663408602e-27	"Ast"	"BMPR1A"	"brain region: Entorhinal cortex"	"male"
"AK3"	2.15930579339791e-31	0.697475234113711	0.167	0.026	7.2533240906029e-27	"Ast"	"AK3"	"brain region: Entorhinal cortex"	"male"
"BCKDHB"	2.17028309199115e-31	0.584358656748781	0.233	0.065	7.29019793430748e-27	"Ast"	"BCKDHB"	"brain region: Entorhinal cortex"	"male"
"FIGN"	2.87076827082909e-31	0.664895173637911	0.204	0.048	9.64319769854199e-27	"Ast"	"FIGN"	"brain region: Entorhinal cortex"	"male"
"DNM1"	3.96732241777332e-31	-1.40726007644127	0.074	0.177	1.33266327335424e-26	"Ast"	"DNM1"	"brain region: Entorhinal cortex"	"male"
"CST3"	4.44862750286844e-31	0.515851853491532	0.515	0.26	1.49433846448854e-26	"Ast"	"CST3"	"brain region: Entorhinal cortex"	"male"
"PCSK5"	5.06716949813884e-31	0.654896845135464	0.207	0.05	1.70211290611982e-26	"Ast"	"PCSK5"	"brain region: Entorhinal cortex"	"male"
"GAN"	5.09830499113977e-31	0.462098853088873	0.251	0.076	1.71257162957376e-26	"Ast"	"GAN"	"brain region: Entorhinal cortex"	"male"
"ZBTB20"	5.50685591317621e-31	0.422529915762721	0.685	0.39	1.84980796979502e-26	"Ast"	"ZBTB20"	"brain region: Entorhinal cortex"	"male"
"SPDYE3"	6.01063976747887e-31	0.909481376975866	0.117	0.001	2.01903400429383e-26	"Ast"	"SPDYE3"	"brain region: Entorhinal cortex"	"male"
"RNF19A"	7.32501855357031e-31	0.62859031837204	0.222	0.06	2.4605469823298e-26	"Ast"	"RNF19A"	"brain region: Entorhinal cortex"	"male"
"PPP3CC"	8.21153329917426e-31	0.693865808427753	0.194	0.043	2.75833615052562e-26	"Ast"	"PPP3CC"	"brain region: Entorhinal cortex"	"male"
"MAP3K5"	9.62974400294446e-31	0.321238254121029	0.386	0.162	3.23472730802907e-26	"Ast"	"MAP3K5"	"brain region: Entorhinal cortex"	"male"
"TENM2"	1.70173207944501e-30	0.4181919147523	0.458	0.218	5.71628822806374e-26	"Ast"	"TENM2"	"brain region: Entorhinal cortex"	"male"
"HNRNPH1"	2.71242869825355e-30	0.750892235835106	0.163	0.026	9.1113192403035e-26	"Ast"	"HNRNPH1"	"brain region: Entorhinal cortex"	"male"
"BAIAP2"	4.20901094405863e-30	-1.47492456513172	0.067	0.162	1.41384886621873e-25	"Ast"	"BAIAP2"	"brain region: Entorhinal cortex"	"male"
"CLYBL"	5.11336142774206e-30	0.605824173425049	0.183	0.038	1.71762923719284e-25	"Ast"	"CLYBL"	"brain region: Entorhinal cortex"	"male"
"APC"	6.80915905772873e-30	0.393485524882054	0.348	0.142	2.28726461908166e-25	"Ast"	"APC"	"brain region: Entorhinal cortex"	"male"
"USP39"	7.06043305417467e-30	0.293524872016723	0.318	0.119	2.37167006722782e-25	"Ast"	"USP39"	"brain region: Entorhinal cortex"	"male"
"BMPR2"	1.09015282750522e-29	0.565994443848516	0.241	0.073	3.66193236287278e-25	"Ast"	"BMPR2"	"brain region: Entorhinal cortex"	"male"
"SDCCAG8"	1.41966493048614e-29	0.522735995725645	0.204	0.051	4.76879646799598e-25	"Ast"	"SDCCAG8"	"brain region: Entorhinal cortex"	"male"
"IFITM3"	1.5094785049547e-29	0.669977878818613	0.179	0.037	5.07048924599335e-25	"Ast"	"IFITM3"	"brain region: Entorhinal cortex"	"male"
"AQP4-AS1"	1.59526760817384e-29	0.417065105892815	0.32	0.124	5.35866342261675e-25	"Ast"	"AQP4-AS1"	"brain region: Entorhinal cortex"	"male"
"ZNF565"	1.62593464369879e-29	0.801152817527196	0.129	0.01	5.46167706164862e-25	"Ast"	"ZNF565"	"brain region: Entorhinal cortex"	"male"
"DPP10-AS3"	2.22337059361588e-29	0.862233460324802	0.122	0.006	7.46852416101512e-25	"Ast"	"DPP10-AS3"	"brain region: Entorhinal cortex"	"male"
"RP13-143G15.4"	3.00396529254683e-29	0.867255623792232	0.137	0.014	1.00906198141941e-24	"Ast"	"RP13-143G15.4"	"brain region: Entorhinal cortex"	"male"
"EFEMP1"	3.01159785752859e-29	0.530611259537215	0.19	0.044	1.01162583632243e-24	"Ast"	"EFEMP1"	"brain region: Entorhinal cortex"	"male"
"MT-ND1"	3.0820285010171e-29	-0.776639420370552	0.345	0.482	1.03528419377665e-24	"Ast"	"MT-ND1"	"brain region: Entorhinal cortex"	"male"
"FUT9"	3.59349966987281e-29	0.311171668692049	0.409	0.185	1.20709247410698e-24	"Ast"	"FUT9"	"brain region: Entorhinal cortex"	"male"
"ARID1B"	3.72065221890614e-29	0.37671277212232	0.294	0.107	1.24980428685276e-24	"Ast"	"ARID1B"	"brain region: Entorhinal cortex"	"male"
"IQCK"	4.41649636181575e-29	0.451416293719758	0.252	0.082	1.48354529289753e-24	"Ast"	"IQCK"	"brain region: Entorhinal cortex"	"male"
"PDE4DIP"	5.75925777452878e-29	0.288836573422482	0.467	0.222	1.93459227904196e-24	"Ast"	"PDE4DIP"	"brain region: Entorhinal cortex"	"male"
"MKLN1"	8.80871304239556e-29	0.253899353064931	0.474	0.225	2.95893479807109e-24	"Ast"	"MKLN1"	"brain region: Entorhinal cortex"	"male"
"FER"	1.19229706922222e-28	0.421164768369068	0.213	0.058	4.00504508522436e-24	"Ast"	"FER"	"brain region: Entorhinal cortex"	"male"
