"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"disease"	"region"
"PLEKHA5"	6.9901504013322e-26	1.35398932271571	0.637	0.225	7.52419789199398e-22	"Ast"	"PLEKHA5"	"AD"	"Entorhinal Cortex"
"FAM189A2"	3.4160448188247e-25	1.24899432684549	0.539	0.157	3.6770306429829e-21	"Ast"	"FAM189A2"	"AD"	"Entorhinal Cortex"
"MAOB"	3.73871594490076e-25	1.64432441343814	0.486	0.129	4.02435384309118e-21	"Ast"	"MAOB"	"AD"	"Entorhinal Cortex"
"MAP1B"	4.00241309858543e-25	1.16646674906982	0.457	0.098	4.30819745931736e-21	"Ast"	"MAP1B"	"AD"	"Entorhinal Cortex"
"ANKRD12"	5.32668455495647e-25	1.04420766203859	0.567	0.165	5.73364325495514e-21	"Ast"	"ANKRD12"	"AD"	"Entorhinal Cortex"
"RP11-1000B6.3"	1.10938486964847e-24	1.30946361251548	0.335	0.048	1.19414187368962e-20	"Ast"	"RP11-1000B6.3"	"AD"	"Entorhinal Cortex"
"MT1E"	1.35574098731092e-24	1.36377584764329	0.547	0.167	1.45931959874148e-20	"Ast"	"MT1E"	"AD"	"Entorhinal Cortex"
"HSP90AB1"	1.37799202013702e-24	-2.51699672472	0.082	0.441	1.48327061047548e-20	"Ast"	"HSP90AB1"	"AD"	"Entorhinal Cortex"
"GOLGA4"	5.93654326173506e-24	1.25343153605514	0.449	0.106	6.39009516693162e-20	"Ast"	"GOLGA4"	"AD"	"Entorhinal Cortex"
"FRMPD2"	6.31469867454858e-24	1.28082492783143	0.265	0.021	6.7971416532841e-20	"Ast"	"FRMPD2"	"AD"	"Entorhinal Cortex"
"AP000487.6"	2.71378959702803e-23	1.2394696677601	0.331	0.048	2.92112312224097e-19	"Ast"	"AP000487.6"	"AD"	"Entorhinal Cortex"
"JUNB"	2.90868419770483e-23	1.78235035273743	0.363	0.073	3.13090767040948e-19	"Ast"	"JUNB"	"AD"	"Entorhinal Cortex"
"ADAMTSL3"	7.67273967762493e-23	1.43271123371943	0.249	0.019	8.25893698899548e-19	"Ast"	"ADAMTSL3"	"AD"	"Entorhinal Cortex"
"NDRG2"	8.58763841048555e-23	-1.69517894824469	0.461	0.676	9.24373398504665e-19	"Ast"	"NDRG2"	"AD"	"Entorhinal Cortex"
"GPI"	8.99856402349883e-23	1.21872267348837	0.273	0.027	9.68605431489414e-19	"Ast"	"GPI"	"AD"	"Entorhinal Cortex"
"EMX2"	1.37199722385314e-22	0.99702781534533	0.62	0.217	1.47681781175552e-18	"Ast"	"EMX2"	"AD"	"Entorhinal Cortex"
"GALNT15"	1.81875017979172e-22	1.43035765379896	0.261	0.025	1.95770269352781e-18	"Ast"	"GALNT15"	"AD"	"Entorhinal Cortex"
"DCLK2"	5.68647092502417e-22	1.03766307501301	0.714	0.288	6.12091730369602e-18	"Ast"	"DCLK2"	"AD"	"Entorhinal Cortex"
"WDR49"	6.28693625542491e-22	1.05579636744655	0.363	0.067	6.76725818533937e-18	"Ast"	"WDR49"	"AD"	"Entorhinal Cortex"
"USP53"	7.10658255222928e-22	1.2643482526757	0.294	0.04	7.6495254592196e-18	"Ast"	"USP53"	"AD"	"Entorhinal Cortex"
"SLCO3A1"	1.00467785928119e-21	1.20418718033636	0.367	0.073	1.08143524773028e-17	"Ast"	"SLCO3A1"	"AD"	"Entorhinal Cortex"
"QDPR"	1.40640287566064e-21	-2.30026053089658	0.159	0.476	1.51385205536111e-17	"Ast"	"QDPR"	"AD"	"Entorhinal Cortex"
"SERPINI2"	1.84712601143698e-21	1.03992535981422	0.335	0.056	1.98824643871076e-17	"Ast"	"SERPINI2"	"AD"	"Entorhinal Cortex"
"RFX4"	2.88042011138135e-21	0.830927793098291	0.739	0.299	3.10048420789089e-17	"Ast"	"RFX4"	"AD"	"Entorhinal Cortex"
"ID3"	3.24810241363324e-21	1.42819954844874	0.433	0.115	3.49625743803482e-17	"Ast"	"ID3"	"AD"	"Entorhinal Cortex"
"MT-ATP6"	3.79791270753798e-21	-2.05245835999966	0.188	0.505	4.08807323839388e-17	"Ast"	"MT-ATP6"	"AD"	"Entorhinal Cortex"
"GOLGA8B"	3.9963795432658e-21	1.21510594757751	0.257	0.027	4.30170294037131e-17	"Ast"	"GOLGA8B"	"AD"	"Entorhinal Cortex"
"VCAN"	5.02955996368476e-21	1.08648180583645	0.531	0.171	5.41381834491027e-17	"Ast"	"VCAN"	"AD"	"Entorhinal Cortex"
"RP11-739G5.1"	9.08509851700552e-21	1.26832903435459	0.286	0.042	9.77920004370475e-17	"Ast"	"RP11-739G5.1"	"AD"	"Entorhinal Cortex"
"RP11-563J2.2"	1.39891244191574e-20	1.21246688159593	0.253	0.027	1.5057893524781e-16	"Ast"	"RP11-563J2.2"	"AD"	"Entorhinal Cortex"
"IGFBP7"	2.48892751241763e-20	1.15187855784398	0.408	0.104	2.67908157436633e-16	"Ast"	"IGFBP7"	"AD"	"Entorhinal Cortex"
"CAMK2G"	2.50271966149803e-20	1.00889420883514	0.539	0.173	2.69392744363648e-16	"Ast"	"CAMK2G"	"AD"	"Entorhinal Cortex"
"FTL"	2.71618017994496e-20	-1.68173411263051	0.433	0.641	2.92369634569276e-16	"Ast"	"FTL"	"AD"	"Entorhinal Cortex"
"KNOP1"	5.70541318996501e-20	1.08720627402688	0.429	0.115	6.14130675767833e-16	"Ast"	"KNOP1"	"AD"	"Entorhinal Cortex"
"ETNPPL"	7.64662359379107e-20	1.1339763414716	0.392	0.096	8.23082563635671e-16	"Ast"	"ETNPPL"	"AD"	"Entorhinal Cortex"
"CNTN2"	8.29603641913063e-20	-2.46229373946331	0.069	0.372	8.92985360155221e-16	"Ast"	"CNTN2"	"AD"	"Entorhinal Cortex"
"PCLO"	1.31881678759634e-19	1.05902304903072	0.286	0.044	1.4195743901687e-15	"Ast"	"PCLO"	"AD"	"Entorhinal Cortex"
"CTC-490E21.12"	1.38937222102995e-19	1.10157276858804	0.233	0.023	1.49552025871663e-15	"Ast"	"CTC-490E21.12"	"AD"	"Entorhinal Cortex"
"CERCAM"	1.4276952472557e-19	-2.47481602743922	0.073	0.374	1.53677116414604e-15	"Ast"	"CERCAM"	"AD"	"Entorhinal Cortex"
"MT-ND3"	3.21823288870194e-19	-2.38408294481246	0.098	0.401	3.46410588139877e-15	"Ast"	"MT-ND3"	"AD"	"Entorhinal Cortex"
"DGKB"	3.51813396627491e-19	1.27331296701512	0.29	0.05	3.78691940129831e-15	"Ast"	"DGKB"	"AD"	"Entorhinal Cortex"
"PLCE1"	3.52681713572371e-19	0.976465513702508	0.461	0.138	3.796265964893e-15	"Ast"	"PLCE1"	"AD"	"Entorhinal Cortex"
"GAREM1"	3.5830696601225e-19	0.849086251582096	0.457	0.132	3.85681618215586e-15	"Ast"	"GAREM1"	"AD"	"Entorhinal Cortex"
"AC069368.3"	6.50861435309674e-19	1.21443467957008	0.208	0.017	7.00587248967333e-15	"Ast"	"AC069368.3"	"AD"	"Entorhinal Cortex"
"RAPGEF3"	1.28637868821063e-18	-2.10047320271138	0.176	0.463	1.38465801998993e-14	"Ast"	"RAPGEF3"	"AD"	"Entorhinal Cortex"
"PPFIA1"	1.37063603904852e-18	0.99989561898605	0.486	0.159	1.47535263243182e-14	"Ast"	"PPFIA1"	"AD"	"Entorhinal Cortex"
"NAV2"	1.50166601821303e-18	0.795116487031811	0.722	0.328	1.61639330200451e-14	"Ast"	"NAV2"	"AD"	"Entorhinal Cortex"
"AKAP9"	2.42406084949439e-18	1.139119895778	0.457	0.148	2.60925909839576e-14	"Ast"	"AKAP9"	"AD"	"Entorhinal Cortex"
"RP11-778J15.1"	2.46547729506408e-18	1.05207194411742	0.229	0.025	2.65383976040698e-14	"Ast"	"RP11-778J15.1"	"AD"	"Entorhinal Cortex"
"SRPX2"	2.60276801062795e-18	1.06521990418446	0.159	0.002	2.80161948663993e-14	"Ast"	"SRPX2"	"AD"	"Entorhinal Cortex"
"ATP13A4"	2.84192224238676e-18	0.775754568044432	0.469	0.144	3.0590451017051e-14	"Ast"	"ATP13A4"	"AD"	"Entorhinal Cortex"
"ARHGEF4"	3.11956874445499e-18	0.740966417653624	0.767	0.353	3.35790379653135e-14	"Ast"	"ARHGEF4"	"AD"	"Entorhinal Cortex"
"REV3L"	3.92019608198579e-18	0.795585687696788	0.531	0.184	4.21969906264951e-14	"Ast"	"REV3L"	"AD"	"Entorhinal Cortex"
"C20orf194"	4.57820108170914e-18	0.968145318738859	0.457	0.144	4.92797564435172e-14	"Ast"	"C20orf194"	"AD"	"Entorhinal Cortex"
"BCYRN1"	4.95789050099799e-18	-2.27482273962688	0.163	0.453	5.33667333527424e-14	"Ast"	"BCYRN1"	"AD"	"Entorhinal Cortex"
"RLF"	5.22456468229162e-18	0.901077152013644	0.278	0.046	5.6237214240187e-14	"Ast"	"RLF"	"AD"	"Entorhinal Cortex"
"ZHX3"	9.18134832804701e-18	0.851865810067648	0.543	0.196	9.8828033403098e-14	"Ast"	"ZHX3"	"AD"	"Entorhinal Cortex"
"NDRG1"	1.87866651016781e-17	-2.26342350700188	0.073	0.349	2.02219663154464e-13	"Ast"	"NDRG1"	"AD"	"Entorhinal Cortex"
"PCDH9"	2.9133859333182e-17	-0.700481111532207	0.976	0.933	3.13596861862371e-13	"Ast"	"PCDH9"	"AD"	"Entorhinal Cortex"
"IDI1"	3.01571273809956e-17	1.70406063161734	0.224	0.029	3.24611319129037e-13	"Ast"	"IDI1"	"AD"	"Entorhinal Cortex"
"MT-ND2"	3.45990401939761e-17	-1.95019818619824	0.208	0.489	3.72424068647959e-13	"Ast"	"MT-ND2"	"AD"	"Entorhinal Cortex"
"HSPA1B"	3.48638206750655e-17	-2.28611812080232	0.037	0.303	3.75274165746405e-13	"Ast"	"HSPA1B"	"AD"	"Entorhinal Cortex"
"LCNL1"	4.15358485745886e-17	0.999163533390951	0.449	0.14	4.47091874056871e-13	"Ast"	"LCNL1"	"AD"	"Entorhinal Cortex"
"MT-CYB"	4.32200736223816e-17	-1.96566666935606	0.249	0.505	4.65220872471315e-13	"Ast"	"MT-CYB"	"AD"	"Entorhinal Cortex"
"DPH6"	4.58720398291034e-17	1.03255756967476	0.31	0.067	4.93766636720469e-13	"Ast"	"DPH6"	"AD"	"Entorhinal Cortex"
"AZIN1-AS1"	4.98419677716439e-17	0.9954631751405	0.22	0.027	5.36498941093975e-13	"Ast"	"AZIN1-AS1"	"AD"	"Entorhinal Cortex"
"FMN2"	6.97748064429214e-17	0.698929918218175	0.849	0.441	7.51056016551606e-13	"Ast"	"FMN2"	"AD"	"Entorhinal Cortex"
"KCNN3"	1.31374062802437e-16	0.914898085772754	0.478	0.171	1.41411041200543e-12	"Ast"	"KCNN3"	"AD"	"Entorhinal Cortex"
"ITPR2"	1.58621796755376e-16	0.729186972768722	0.735	0.34	1.70740502027486e-12	"Ast"	"ITPR2"	"AD"	"Entorhinal Cortex"
"FNBP1"	1.76586142026438e-16	0.687733860240718	0.669	0.284	1.90077323277257e-12	"Ast"	"FNBP1"	"AD"	"Entorhinal Cortex"
"MT1M"	1.78519174715379e-16	1.2453562620654	0.363	0.104	1.92158039663634e-12	"Ast"	"MT1M"	"AD"	"Entorhinal Cortex"
"JPX"	1.85833808151498e-16	0.810837101346499	0.355	0.094	2.00031511094273e-12	"Ast"	"JPX"	"AD"	"Entorhinal Cortex"
"HSPB1"	1.9664786271146e-16	-1.18240686795663	0.465	0.676	2.11671759422615e-12	"Ast"	"HSPB1"	"AD"	"Entorhinal Cortex"
"PTGES3"	2.33708584452401e-16	-2.11598724584227	0.078	0.34	2.51563920304564e-12	"Ast"	"PTGES3"	"AD"	"Entorhinal Cortex"
"DUSP1"	2.34359771920082e-16	1.58750915310575	0.22	0.031	2.52264858494777e-12	"Ast"	"DUSP1"	"AD"	"Entorhinal Cortex"
"RP11-428O18.6"	2.66736088289731e-16	0.850857960515616	0.188	0.017	2.87114725435066e-12	"Ast"	"RP11-428O18.6"	"AD"	"Entorhinal Cortex"
"ADHFE1"	2.85530663112811e-16	0.882539091032252	0.2	0.021	3.0734520577463e-12	"Ast"	"ADHFE1"	"AD"	"Entorhinal Cortex"
"ATP1B3"	3.96885207407958e-16	0.949392181589882	0.261	0.048	4.27207237253926e-12	"Ast"	"ATP1B3"	"AD"	"Entorhinal Cortex"
"MED12L"	4.13835812177164e-16	0.685054079862197	0.518	0.182	4.45452868227499e-12	"Ast"	"MED12L"	"AD"	"Entorhinal Cortex"
"HMGN3"	4.64689835925876e-16	0.958898103276285	0.396	0.119	5.00192139390613e-12	"Ast"	"HMGN3"	"AD"	"Entorhinal Cortex"
"SLC18B1"	6.01243785644959e-16	0.853938061716748	0.339	0.084	6.47178810868234e-12	"Ast"	"SLC18B1"	"AD"	"Entorhinal Cortex"
"PDE4DIP"	6.81494034981185e-16	0.717819204953764	0.837	0.451	7.33560179253747e-12	"Ast"	"PDE4DIP"	"AD"	"Entorhinal Cortex"
"GPR75-ASB3"	6.82516091999045e-16	0.752265701303162	0.514	0.194	7.34660321427773e-12	"Ast"	"GPR75-ASB3"	"AD"	"Entorhinal Cortex"
"DNM1L"	8.82178367489551e-16	0.882414662936353	0.253	0.046	9.49576794765752e-12	"Ast"	"DNM1L"	"AD"	"Entorhinal Cortex"
"BMP2K"	1.0215782313765e-15	0.876856684485726	0.38	0.115	1.09962680825366e-11	"Ast"	"BMP2K"	"AD"	"Entorhinal Cortex"
"KAT6B"	1.03434303141074e-15	0.720034929826925	0.282	0.058	1.11336683901052e-11	"Ast"	"KAT6B"	"AD"	"Entorhinal Cortex"
"TBC1D22A"	1.08576065737868e-15	0.982011244954265	0.269	0.054	1.16871277160241e-11	"Ast"	"TBC1D22A"	"AD"	"Entorhinal Cortex"
"TSHZ2"	1.12066616137007e-15	0.898649261812825	0.294	0.065	1.20628505609874e-11	"Ast"	"TSHZ2"	"AD"	"Entorhinal Cortex"
"ANKRD36C"	1.15730118349193e-15	0.799132644824109	0.282	0.061	1.24571899391072e-11	"Ast"	"ANKRD36C"	"AD"	"Entorhinal Cortex"
"PDXDC1"	1.31727679441708e-15	0.865488619802525	0.331	0.086	1.41791674151054e-11	"Ast"	"PDXDC1"	"AD"	"Entorhinal Cortex"
"IQCA1"	1.39191396580573e-15	0.981814074115741	0.343	0.092	1.49825619279329e-11	"Ast"	"IQCA1"	"AD"	"Entorhinal Cortex"
"MARCH3"	1.5602688272893e-15	1.09535316176323	0.355	0.102	1.6794733656942e-11	"Ast"	"MARCH3"	"AD"	"Entorhinal Cortex"
"RP11-156K13.1"	1.67190925274433e-15	0.860545036249167	0.359	0.1	1.799643119654e-11	"Ast"	"RP11-156K13.1"	"AD"	"Entorhinal Cortex"
"SMYD3"	2.28325869836024e-15	0.632077341708739	0.539	0.198	2.45769966291496e-11	"Ast"	"SMYD3"	"AD"	"Entorhinal Cortex"
"DCLK1"	2.5239491042274e-15	0.658881780943567	0.461	0.163	2.71677881579037e-11	"Ast"	"DCLK1"	"AD"	"Entorhinal Cortex"
"PARK2"	2.8932955510711e-15	0.667563847285389	0.514	0.188	3.11434333117293e-11	"Ast"	"PARK2"	"AD"	"Entorhinal Cortex"
"PARD3B"	2.89851115566337e-15	0.798423291271871	0.616	0.286	3.11995740795606e-11	"Ast"	"PARD3B"	"AD"	"Entorhinal Cortex"
"ATP9A"	4.01123483562971e-15	0.972017418191316	0.339	0.094	4.31769317707182e-11	"Ast"	"ATP9A"	"AD"	"Entorhinal Cortex"
"LINC00499"	4.71950644715037e-15	-1.86708791795932	0.192	0.438	5.08007673971266e-11	"Ast"	"LINC00499"	"AD"	"Entorhinal Cortex"
"IGFBP5"	4.84707352917999e-15	1.00212818796242	0.188	0.021	5.21738994680934e-11	"Ast"	"IGFBP5"	"AD"	"Entorhinal Cortex"
"MTHFD1L"	5.9158731715569e-15	0.901079959073052	0.273	0.058	6.36784588186384e-11	"Ast"	"MTHFD1L"	"AD"	"Entorhinal Cortex"
"ZFP36L1"	6.03616301332674e-15	0.952262835941795	0.506	0.203	6.49732586754491e-11	"Ast"	"ZFP36L1"	"AD"	"Entorhinal Cortex"
"PSAP"	6.75302238131709e-15	-1.38235679664075	0.396	0.593	7.26895329124971e-11	"Ast"	"PSAP"	"AD"	"Entorhinal Cortex"
"PHYHD1"	7.27902234057011e-15	0.953908670140431	0.216	0.033	7.83513964738967e-11	"Ast"	"PHYHD1"	"AD"	"Entorhinal Cortex"
"CTNNA2"	7.68995436739364e-15	0.56443765750125	0.939	0.733	8.27746688106252e-11	"Ast"	"CTNNA2"	"AD"	"Entorhinal Cortex"
"RNF219-AS1"	7.87001602990248e-15	0.664129136339499	0.576	0.236	8.47128525458702e-11	"Ast"	"RNF219-AS1"	"AD"	"Entorhinal Cortex"
"MEG3"	8.11883909906585e-15	-2.04729916429111	0.098	0.342	8.73911840623448e-11	"Ast"	"MEG3"	"AD"	"Entorhinal Cortex"
"TIMM23B"	8.445423779129e-15	0.965238201634226	0.2	0.027	9.09065415585446e-11	"Ast"	"TIMM23B"	"AD"	"Entorhinal Cortex"
"CLIP1"	8.78871515953416e-15	0.896776902084157	0.339	0.098	9.46017299772257e-11	"Ast"	"CLIP1"	"AD"	"Entorhinal Cortex"
"FNBP4"	8.92295889819685e-15	0.519962705389764	0.294	0.067	9.60467295801909e-11	"Ast"	"FNBP4"	"AD"	"Entorhinal Cortex"
"PDE5A"	1.01502829195915e-14	0.777140046416089	0.278	0.065	1.09257645346483e-10	"Ast"	"PDE5A"	"AD"	"Entorhinal Cortex"
"SLC24A4"	1.04631617546112e-14	0.965743575226305	0.167	0.015	1.12625473126635e-10	"Ast"	"SLC24A4"	"AD"	"Entorhinal Cortex"
"NFKBIA"	1.09868015574734e-14	0.877826360272563	0.302	0.075	1.18261931964643e-10	"Ast"	"NFKBIA"	"AD"	"Entorhinal Cortex"
"NCOA1"	1.17766853651764e-14	0.52305806861584	0.755	0.349	1.26764241270759e-10	"Ast"	"NCOA1"	"AD"	"Entorhinal Cortex"
"ST7"	1.19307140808464e-14	0.671981489741485	0.392	0.119	1.28422206366231e-10	"Ast"	"ST7"	"AD"	"Entorhinal Cortex"
"AC016716.2"	1.28316759067146e-14	0.932308101418998	0.278	0.065	1.38120159459876e-10	"Ast"	"AC016716.2"	"AD"	"Entorhinal Cortex"
"EVI5"	1.32996242172459e-14	0.893885483169348	0.278	0.063	1.43157155074435e-10	"Ast"	"EVI5"	"AD"	"Entorhinal Cortex"
"RP11-266O8.1"	1.70501974089492e-14	0.972673463695075	0.224	0.04	1.83528324909929e-10	"Ast"	"RP11-266O8.1"	"AD"	"Entorhinal Cortex"
"CLDND1"	1.71809734479562e-14	-1.99956619456269	0.09	0.332	1.849359981938e-10	"Ast"	"CLDND1"	"AD"	"Entorhinal Cortex"
"GRAMD3"	1.79492284840388e-14	0.560156995879324	0.698	0.334	1.93205495402193e-10	"Ast"	"GRAMD3"	"AD"	"Entorhinal Cortex"
"LINC00836"	2.18539662544024e-14	1.05280783335982	0.163	0.015	2.35236092762388e-10	"Ast"	"LINC00836"	"AD"	"Entorhinal Cortex"
"NEAT1"	2.68746598358179e-14	0.443646694489471	1	0.925	2.89278838472744e-10	"Ast"	"NEAT1"	"AD"	"Entorhinal Cortex"
"HYDIN"	2.84434404959135e-14	0.735077660607909	0.302	0.075	3.06165193498012e-10	"Ast"	"HYDIN"	"AD"	"Entorhinal Cortex"
"GTF2IRD2B"	2.84995116552119e-14	0.815800482152095	0.208	0.031	3.06768743456701e-10	"Ast"	"GTF2IRD2B"	"AD"	"Entorhinal Cortex"
"BIN1"	3.41912159011413e-14	-2.06700646764219	0.082	0.319	3.68034247959885e-10	"Ast"	"BIN1"	"AD"	"Entorhinal Cortex"
"CLEC16A"	3.51285805949615e-14	0.851483023898751	0.327	0.09	3.78124041524166e-10	"Ast"	"CLEC16A"	"AD"	"Entorhinal Cortex"
"LINC01138"	3.60250534081154e-14	0.649587333297944	0.457	0.171	3.87773674884954e-10	"Ast"	"LINC01138"	"AD"	"Entorhinal Cortex"
"RBM3"	3.86904779466873e-14	0.971863038353207	0.155	0.013	4.16464304618142e-10	"Ast"	"RBM3"	"AD"	"Entorhinal Cortex"
"LRRFIP2"	4.22018892183151e-14	0.803772913595867	0.363	0.111	4.54261135545944e-10	"Ast"	"LRRFIP2"	"AD"	"Entorhinal Cortex"
"ATP1A2"	4.37841052539017e-14	0.64990787864634	0.71	0.347	4.71292108952998e-10	"Ast"	"ATP1A2"	"AD"	"Entorhinal Cortex"
"RP11-96H19.1"	4.81935674288162e-14	0.888319073214028	0.257	0.056	5.18755559803777e-10	"Ast"	"RP11-96H19.1"	"AD"	"Entorhinal Cortex"
"ARHGAP26"	5.64363450009818e-14	0.536397651721329	0.576	0.238	6.07480817590568e-10	"Ast"	"ARHGAP26"	"AD"	"Entorhinal Cortex"
"SBF2"	7.06481770972038e-14	0.652493135318113	0.449	0.165	7.60456978274302e-10	"Ast"	"SBF2"	"AD"	"Entorhinal Cortex"
"MAML3"	7.06685522545752e-14	0.876630481448653	0.192	0.027	7.60676296468248e-10	"Ast"	"MAML3"	"AD"	"Entorhinal Cortex"
"C5orf42"	7.26394577185449e-14	0.774706920240847	0.265	0.061	7.81891122882418e-10	"Ast"	"C5orf42"	"AD"	"Entorhinal Cortex"
"LRIG1"	8.61407726723297e-14	0.603797481782864	0.551	0.219	9.27219277044956e-10	"Ast"	"LRIG1"	"AD"	"Entorhinal Cortex"
"AC007563.5"	9.63605879782617e-14	0.947889981345799	0.127	0.004	1.03722536899801e-09	"Ast"	"AC007563.5"	"AD"	"Entorhinal Cortex"
"CTC-498M16.4"	1.04703157890837e-13	0.819874768672529	0.257	0.056	1.12702479153697e-09	"Ast"	"CTC-498M16.4"	"AD"	"Entorhinal Cortex"
"ZNF609"	1.06275232614559e-13	0.87400879645142	0.371	0.125	1.14394660386312e-09	"Ast"	"ZNF609"	"AD"	"Entorhinal Cortex"
"NTM"	1.08132434135474e-13	0.6107518840493	0.886	0.605	1.16393752103424e-09	"Ast"	"NTM"	"AD"	"Entorhinal Cortex"
