"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"HSPA1B"	1.02946405706838e-41	1.95059516529297	0.303	0.079	1.1081151110284e-37	"Ast"	"HSPA1B"	"male"	"Entorhinal Cortex"
"PTGES3"	1.2756192623313e-41	1.86877807139287	0.34	0.104	1.37307657397341e-37	"Ast"	"PTGES3"	"male"	"Entorhinal Cortex"
"C10orf11"	2.89262296467774e-41	-1.4472320219837	0.106	0.467	3.11361935917912e-37	"Ast"	"C10orf11"	"male"	"Entorhinal Cortex"
"BCYRN1"	3.18708785656051e-41	2.57569632835934	0.453	0.205	3.43058136880173e-37	"Ast"	"BCYRN1"	"male"	"Entorhinal Cortex"
"RP11-317N12.1"	7.20098321204501e-41	-1.30552741330953	0.075	0.428	7.75113832944525e-37	"Ast"	"RP11-317N12.1"	"male"	"Entorhinal Cortex"
"SLC4A4"	7.71789493927771e-41	-0.968089046077397	0.271	0.686	8.30754211263852e-37	"Ast"	"SLC4A4"	"male"	"Entorhinal Cortex"
"PIK3C2A"	9.97426342972448e-41	-1.38865737307137	0.096	0.448	1.07362971557554e-36	"Ast"	"PIK3C2A"	"male"	"Entorhinal Cortex"
"NDRG1"	1.01094328772002e-40	1.92689712867629	0.349	0.113	1.08817935490183e-36	"Ast"	"NDRG1"	"male"	"Entorhinal Cortex"
"SLC26A3"	1.38333642330084e-40	1.56140886982369	0.196	0.026	1.48902332604102e-36	"Ast"	"SLC26A3"	"male"	"Entorhinal Cortex"
"WIF1"	1.5153137655088e-40	-1.85303737343913	0.021	0.331	1.63108373719368e-36	"Ast"	"WIF1"	"male"	"Entorhinal Cortex"
"MAST4"	8.76572471413365e-40	-0.930369501968275	0.175	0.585	9.43542608229346e-36	"Ast"	"MAST4"	"male"	"Entorhinal Cortex"
"BIN1"	2.17399191378753e-39	1.94371992497724	0.319	0.096	2.3400848960009e-35	"Ast"	"BIN1"	"male"	"Entorhinal Cortex"
"PSAP"	3.8620167723298e-39	1.57709469382654	0.593	0.392	4.1570748537358e-35	"Ast"	"PSAP"	"male"	"Entorhinal Cortex"
"GABRA2"	4.67171121118268e-39	-1.18361621603778	0.109	0.467	5.02862994771704e-35	"Ast"	"GABRA2"	"male"	"Entorhinal Cortex"
"RP11-403A3.3"	7.57067464990292e-39	1.4254265921624	0.121	0.003	8.1490741931555e-35	"Ast"	"RP11-403A3.3"	"male"	"Entorhinal Cortex"
"MT-ND3"	7.78667817250538e-39	1.95875014010536	0.401	0.151	8.38158038488479e-35	"Ast"	"MT-ND3"	"male"	"Entorhinal Cortex"
"NR2F2-AS1"	1.16684493249831e-38	-1.42872294752668	0.035	0.35	1.25599188534118e-34	"Ast"	"NR2F2-AS1"	"male"	"Entorhinal Cortex"
"CDH20"	4.79786725328758e-38	-0.7042196889954	0.534	0.904	5.16442431143875e-34	"Ast"	"CDH20"	"male"	"Entorhinal Cortex"
"CST3"	7.21415906148463e-38	-0.878577348401682	0.489	0.858	7.76532081378206e-34	"Ast"	"CST3"	"male"	"Entorhinal Cortex"
"WWOX"	1.74096084335505e-37	-0.757363888192041	0.482	0.872	1.87397025178738e-33	"Ast"	"WWOX"	"male"	"Entorhinal Cortex"
"GLI3"	3.16376092799618e-37	-1.25324420129737	0.084	0.42	3.40547226289508e-33	"Ast"	"GLI3"	"male"	"Entorhinal Cortex"
"SAT1"	7.79328175396084e-37	-1.20207240202254	0.146	0.496	8.38868847996345e-33	"Ast"	"SAT1"	"male"	"Entorhinal Cortex"
"PARD3B"	8.6164463587271e-37	-0.847917413395659	0.286	0.687	9.27474286053385e-33	"Ast"	"PARD3B"	"male"	"Entorhinal Cortex"
"TMEM108"	1.10898342173011e-36	-1.23461940974656	0.071	0.399	1.19370975515029e-32	"Ast"	"TMEM108"	"male"	"Entorhinal Cortex"
"RP11-39M21.1"	1.71234388916654e-36	-1.46108520818827	0.031	0.326	1.84316696229887e-32	"Ast"	"RP11-39M21.1"	"male"	"Entorhinal Cortex"
"STIP1"	2.77173629425975e-36	1.68478479741563	0.217	0.041	2.98349694714119e-32	"Ast"	"STIP1"	"male"	"Entorhinal Cortex"
"ZHX3"	3.63064400252431e-36	-0.912897933577277	0.196	0.579	3.90802520431716e-32	"Ast"	"ZHX3"	"male"	"Entorhinal Cortex"
"CERCAM"	5.68850934583882e-36	1.96779610958182	0.374	0.149	6.1231114598609e-32	"Ast"	"CERCAM"	"male"	"Entorhinal Cortex"
"MT3"	7.88854037969057e-36	1.12055095255875	0.733	0.643	8.49122486469893e-32	"Ast"	"MT3"	"male"	"Entorhinal Cortex"
"FTX"	1.88221793167008e-35	-0.772046026209396	0.294	0.686	2.02601938164968e-31	"Ast"	"FTX"	"male"	"Entorhinal Cortex"
"ZBTB20"	2.18371506616562e-35	-0.582726729350425	0.641	0.939	2.35055089722068e-31	"Ast"	"ZBTB20"	"male"	"Entorhinal Cortex"
"PTN"	2.91906907912597e-35	-1.14528701134104	0.186	0.539	3.1420859567712e-31	"Ast"	"PTN"	"male"	"Entorhinal Cortex"
"GRM3"	2.98472368389544e-35	-1.16610331974991	0.144	0.489	3.21275657334505e-31	"Ast"	"GRM3"	"male"	"Entorhinal Cortex"
"PARK2"	8.98162502911357e-35	-0.921143615565737	0.188	0.558	9.66782118133785e-31	"Ast"	"PARK2"	"male"	"Entorhinal Cortex"
"EPHA6"	1.54398980316561e-34	-1.19960947407032	0.121	0.455	1.66195062412747e-30	"Ast"	"EPHA6"	"male"	"Entorhinal Cortex"
"LRRC3B"	1.64829707833069e-34	-1.24780706053036	0.102	0.426	1.77422697511515e-30	"Ast"	"LRRC3B"	"male"	"Entorhinal Cortex"
"FKBP4"	3.44524154745308e-34	1.45514467370826	0.165	0.021	3.7084580016785e-30	"Ast"	"FKBP4"	"male"	"Entorhinal Cortex"
"CHD9"	3.7606647098104e-34	-0.907311684850611	0.223	0.599	4.04797949363991e-30	"Ast"	"CHD9"	"male"	"Entorhinal Cortex"
"STK33"	4.31309258181722e-34	-1.08283011805664	0.069	0.381	4.64261285506806e-30	"Ast"	"STK33"	"male"	"Entorhinal Cortex"
"MAP3K5"	6.37464466082971e-34	-0.890511470925208	0.19	0.556	6.8616675129171e-30	"Ast"	"MAP3K5"	"male"	"Entorhinal Cortex"
"ADAMTS17"	2.28827489303882e-33	-1.4071709195688	0.035	0.314	2.46309909486699e-29	"Ast"	"ADAMTS17"	"male"	"Entorhinal Cortex"
"EPHB1"	2.74961735447647e-33	-1.13428253612219	0.073	0.382	2.95968812035847e-29	"Ast"	"EPHB1"	"male"	"Entorhinal Cortex"
"MEIS2"	2.84318658775434e-33	-0.803624589624111	0.242	0.623	3.06040604305878e-29	"Ast"	"MEIS2"	"male"	"Entorhinal Cortex"
"GARNL3"	2.89058036366589e-33	-1.12555088069663	0.075	0.386	3.11142070344997e-29	"Ast"	"GARNL3"	"male"	"Entorhinal Cortex"
"FTH1"	3.38464702365123e-33	-0.990483618728061	0.716	0.921	3.64323405625818e-29	"Ast"	"FTH1"	"male"	"Entorhinal Cortex"
"FHIT"	3.43528708351065e-33	-0.730900280644167	0.299	0.703	3.69774301669086e-29	"Ast"	"FHIT"	"male"	"Entorhinal Cortex"
"CCP110"	4.98325702525251e-33	1.73398814563587	0.271	0.079	5.3639778619818e-29	"Ast"	"CCP110"	"male"	"Entorhinal Cortex"
"RORB"	5.38055112603587e-33	-1.09334671879339	0.115	0.431	5.79162523206501e-29	"Ast"	"RORB"	"male"	"Entorhinal Cortex"
"AC074363.1"	8.50259380090949e-33	-0.897941397340112	0.18	0.536	9.15219196729898e-29	"Ast"	"AC074363.1"	"male"	"Entorhinal Cortex"
"PCDH9-AS2"	1.18434997177602e-32	-1.1203876673842	0.106	0.422	1.27483430961971e-28	"Ast"	"PCDH9-AS2"	"male"	"Entorhinal Cortex"
"TPPP"	1.76706397797404e-32	1.56943562747532	0.184	0.032	1.90206766589126e-28	"Ast"	"TPPP"	"male"	"Entorhinal Cortex"
"FAM184A"	1.94662270884611e-32	-1.07931890949077	0.092	0.401	2.09534468380195e-28	"Ast"	"FAM184A"	"male"	"Entorhinal Cortex"
"RBMS3"	3.93118508405286e-32	-0.806105727301727	0.198	0.556	4.2315276244745e-28	"Ast"	"RBMS3"	"male"	"Entorhinal Cortex"
"SOX6"	4.41715619515357e-32	-0.838427480952498	0.207	0.567	4.7546269284633e-28	"Ast"	"SOX6"	"male"	"Entorhinal Cortex"
"RGS7"	4.50178250955593e-32	-0.980204748878926	0.113	0.435	4.84571869328601e-28	"Ast"	"RGS7"	"male"	"Entorhinal Cortex"
"RP11-776H12.1"	4.99431697974037e-32	-1.19864134737162	0.071	0.363	5.37588279699253e-28	"Ast"	"RP11-776H12.1"	"male"	"Entorhinal Cortex"
"MYRF"	5.47558648290389e-32	1.72719698188176	0.259	0.073	5.89392129019775e-28	"Ast"	"MYRF"	"male"	"Entorhinal Cortex"
"DHCR24"	1.63645246635451e-31	1.5515950208657	0.161	0.023	1.76147743478399e-27	"Ast"	"DHCR24"	"male"	"Entorhinal Cortex"
"FRMD4A"	1.78662051621826e-31	-1.22572897630912	0.075	0.367	1.92311832365733e-27	"Ast"	"FRMD4A"	"male"	"Entorhinal Cortex"
"SMYD3"	1.97600486886053e-31	-0.800094316035613	0.198	0.561	2.12697164084147e-27	"Ast"	"SMYD3"	"male"	"Entorhinal Cortex"
"RP11-778J15.1"	2.18043260475202e-31	-1.35374580067494	0.025	0.285	2.34701765575507e-27	"Ast"	"RP11-778J15.1"	"male"	"Entorhinal Cortex"
"CLDND1"	2.28564976544234e-31	1.6979162792205	0.332	0.127	2.46027340752214e-27	"Ast"	"CLDND1"	"male"	"Entorhinal Cortex"
"LMO3"	2.91325488175526e-31	-0.950209587942702	0.115	0.435	3.13582755472137e-27	"Ast"	"LMO3"	"male"	"Entorhinal Cortex"
"RP11-436D23.1"	4.1216069101352e-31	-0.859003344130367	0.265	0.621	4.43649767806953e-27	"Ast"	"RP11-436D23.1"	"male"	"Entorhinal Cortex"
"KCNMA1"	4.66260843288672e-31	-0.766903286441455	0.209	0.574	5.01883171715927e-27	"Ast"	"KCNMA1"	"male"	"Entorhinal Cortex"
"LINC00693"	6.4366088338973e-31	-0.849464830369494	0.102	0.41	6.92836574880705e-27	"Ast"	"LINC00693"	"male"	"Entorhinal Cortex"
"IQCA1"	7.34984131731991e-31	-1.10226643518711	0.092	0.392	7.91136919396315e-27	"Ast"	"IQCA1"	"male"	"Entorhinal Cortex"
"MACROD2"	1.16174043958213e-30	-0.949085002856582	0.177	0.514	1.2504974091662e-26	"Ast"	"MACROD2"	"male"	"Entorhinal Cortex"
"GNA14-AS1"	1.39241131998548e-30	-1.47602716048639	0.006	0.243	1.49879154483237e-26	"Ast"	"GNA14-AS1"	"male"	"Entorhinal Cortex"
"PBX1"	1.5315505409254e-30	-0.801114012785824	0.18	0.52	1.6485610022521e-26	"Ast"	"PBX1"	"male"	"Entorhinal Cortex"
"PHLPP1"	1.85656788187665e-30	-0.712868966355417	0.273	0.646	1.99840966805203e-26	"Ast"	"PHLPP1"	"male"	"Entorhinal Cortex"
"MYO9B"	2.70545477370146e-30	1.61109337409899	0.23	0.059	2.91215151841226e-26	"Ast"	"MYO9B"	"male"	"Entorhinal Cortex"
"EMX2"	3.33437913675994e-30	-0.818554612491148	0.217	0.572	3.5891257028084e-26	"Ast"	"EMX2"	"male"	"Entorhinal Cortex"
"ID2"	4.01858467895744e-30	-1.38783576743632	0.056	0.325	4.32560454842979e-26	"Ast"	"ID2"	"male"	"Entorhinal Cortex"
"ENTPD1-AS1"	7.6385901515104e-30	-1.01539218200441	0.109	0.406	8.2221784390858e-26	"Ast"	"ENTPD1-AS1"	"male"	"Entorhinal Cortex"
"BMPR1B"	8.52597267625876e-30	-0.761974683570899	0.255	0.603	9.17735698872493e-26	"Ast"	"BMPR1B"	"male"	"Entorhinal Cortex"
"AGBL4"	8.77049188937949e-30	-0.96559162871294	0.123	0.43	9.44055746972808e-26	"Ast"	"AGBL4"	"male"	"Entorhinal Cortex"
"NRG3"	1.38388491572674e-29	-0.4861193763114	0.808	0.981	1.48961372328826e-25	"Ast"	"NRG3"	"male"	"Entorhinal Cortex"
"SLC1A3"	1.68321977924136e-29	-0.577503850761053	0.695	0.947	1.8118177703754e-25	"Ast"	"SLC1A3"	"male"	"Entorhinal Cortex"
"SPON1"	1.68911189222575e-29	-0.854910342240564	0.15	0.475	1.81816004079179e-25	"Ast"	"SPON1"	"male"	"Entorhinal Cortex"
"CEP85L"	5.57423457464829e-29	-0.966846485517956	0.077	0.357	6.00010609615141e-25	"Ast"	"CEP85L"	"male"	"Entorhinal Cortex"
"GRIA2"	5.97654092413648e-29	-0.854642566447843	0.148	0.464	6.43314865074051e-25	"Ast"	"GRIA2"	"male"	"Entorhinal Cortex"
"CADM2"	8.0742593207461e-29	-0.564554541963749	0.676	0.948	8.6911327328511e-25	"Ast"	"CADM2"	"male"	"Entorhinal Cortex"
"LAMP2"	9.76914043117596e-29	1.71519331987427	0.38	0.182	1.05155027601178e-24	"Ast"	"LAMP2"	"male"	"Entorhinal Cortex"
"CACNB2"	1.31863788062869e-28	-0.769105533984932	0.342	0.692	1.41938181470873e-24	"Ast"	"CACNB2"	"male"	"Entorhinal Cortex"
"DLG2"	1.42798037710255e-28	-0.735876410754311	0.474	0.808	1.53707807791318e-24	"Ast"	"DLG2"	"male"	"Entorhinal Cortex"
"KLF12"	2.4338189462338e-28	-0.749807712005451	0.109	0.411	2.61976271372607e-24	"Ast"	"KLF12"	"male"	"Entorhinal Cortex"
"PTPRG"	2.84139066807156e-28	-0.743409040281383	0.163	0.491	3.05847291511223e-24	"Ast"	"PTPRG"	"male"	"Entorhinal Cortex"
"DCLK2"	3.34486511502701e-28	-0.823448989272424	0.288	0.645	3.60041280981508e-24	"Ast"	"DCLK2"	"male"	"Entorhinal Cortex"
"GNA14"	3.45223381506289e-28	-0.811571918847417	0.146	0.453	3.71598447853369e-24	"Ast"	"GNA14"	"male"	"Entorhinal Cortex"
"GPHN"	3.81942922198802e-28	-0.626476915468297	0.317	0.692	4.11123361454791e-24	"Ast"	"GPHN"	"male"	"Entorhinal Cortex"
"GNAQ"	4.08381479995424e-28	-0.704147133853462	0.265	0.628	4.39581825067074e-24	"Ast"	"GNAQ"	"male"	"Entorhinal Cortex"
"FAT3"	4.0953011749807e-28	-0.887403369693206	0.115	0.416	4.40818218474922e-24	"Ast"	"FAT3"	"male"	"Entorhinal Cortex"
