"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"celltype"	"DEG"	"gender"	"region"
"WIF1"	4.25185652183584e-16	-1.99563700062954	0.004	0.256	4.5766983601041e-12	"Ast"	"WIF1"	"female"	"Entorhinal Cortex"
"SLC14A1"	5.18268944694588e-16	1.50697245862551	0.645	0.25	5.57864692069255e-12	"Ast"	"SLC14A1"	"female"	"Entorhinal Cortex"
"ERBB4"	8.40763014292095e-16	-1.00243592203881	0.833	0.886	9.04997308584011e-12	"Ast"	"ERBB4"	"female"	"Entorhinal Cortex"
"IGFBP7"	9.06160811612699e-16	1.74969025862222	0.408	0.057	9.7539149761991e-12	"Ast"	"IGFBP7"	"female"	"Entorhinal Cortex"
"PTGDS"	1.76079362574921e-15	-1.12556336439983	0.788	0.886	1.89531825875645e-11	"Ast"	"PTGDS"	"female"	"Entorhinal Cortex"
"VCAN"	7.10520974078415e-15	1.44302824607659	0.531	0.148	7.64804776498006e-11	"Ast"	"VCAN"	"female"	"Entorhinal Cortex"
"FTH1"	9.11444915686893e-15	-1.18923845472906	0.833	0.852	9.81079307245372e-11	"Ast"	"FTH1"	"female"	"Entorhinal Cortex"
"PCDH9"	9.8214821086321e-15	-0.631917969199336	0.976	0.977	1.05718433417316e-10	"Ast"	"PCDH9"	"female"	"Entorhinal Cortex"
"MAP1B"	1.12844972982309e-14	1.38420786113016	0.457	0.091	1.21466328918157e-10	"Ast"	"MAP1B"	"female"	"Entorhinal Cortex"
"FKBP5"	1.36842604972532e-14	1.56061467181651	0.384	0.051	1.47297379992434e-10	"Ast"	"FKBP5"	"female"	"Entorhinal Cortex"
"ITGB4"	2.42245451580637e-14	1.39090247544758	0.498	0.125	2.60753004081398e-10	"Ast"	"ITGB4"	"female"	"Entorhinal Cortex"
"NTM"	2.87048148152484e-14	-0.7617540614599	0.886	0.938	3.08978626671333e-10	"Ast"	"NTM"	"female"	"Entorhinal Cortex"
"GRM3"	7.57310085319245e-14	-1.82962327017157	0.061	0.33	8.15168575837635e-10	"Ast"	"GRM3"	"female"	"Entorhinal Cortex"
"RHPN1"	1.81889905097451e-13	1.54322746519084	0.457	0.119	1.95786293846896e-09	"Ast"	"RHPN1"	"female"	"Entorhinal Cortex"
"AHNAK"	2.49067699724426e-13	1.45586377227963	0.416	0.085	2.68096471983373e-09	"Ast"	"AHNAK"	"female"	"Entorhinal Cortex"
"RP11-514P8.6"	4.79357968421329e-13	1.40069355558222	0.31	0.023	5.15980917208718e-09	"Ast"	"RP11-514P8.6"	"female"	"Entorhinal Cortex"
"ARHGEF4"	5.30734822866397e-13	0.876158169779489	0.767	0.415	5.71282963333390e-09	"Ast"	"ARHGEF4"	"female"	"Entorhinal Cortex"
"AHI1"	5.42595825777192e-13	1.1021751431197	0.661	0.284	5.8405014686657e-09	"Ast"	"AHI1"	"female"	"Entorhinal Cortex"
"ANKDD1A"	6.13485386306433e-13	1.25660592787374	0.473	0.125	6.60355669820245e-09	"Ast"	"ANKDD1A"	"female"	"Entorhinal Cortex"
"COL21A1"	1.02095724922697e-12	1.41810729157362	0.363	0.057	1.09895838306791e-08	"Ast"	"COL21A1"	"female"	"Entorhinal Cortex"
"DLC1"	1.1998567958323e-12	-1.67141953059353	0.408	0.619	1.29152585503389e-08	"Ast"	"DLC1"	"female"	"Entorhinal Cortex"
"SLCO3A1"	1.48489361937164e-12	1.41123039030787	0.367	0.062	1.59833949189163e-08	"Ast"	"SLCO3A1"	"female"	"Entorhinal Cortex"
"SPARCL1"	1.74856614316655e-12	-1.16742591155117	0.649	0.778	1.88215659650447e-08	"Ast"	"SPARCL1"	"female"	"Entorhinal Cortex"
"PDE4DIP"	1.88824326952172e-12	0.907232221949512	0.837	0.517	2.03250505531318e-08	"Ast"	"PDE4DIP"	"female"	"Entorhinal Cortex"
"PTN"	2.55612224683182e-12	-1.65541718957944	0.114	0.392	2.75140998648977e-08	"Ast"	"PTN"	"female"	"Entorhinal Cortex"
"AC002429.5"	7.37097288533872e-12	-1.49518248558446	0.127	0.403	7.93411521377859e-08	"Ast"	"AC002429.5"	"female"	"Entorhinal Cortex"
"L3MBTL4"	8.65273134210961e-12	1.09637681494286	0.412	0.091	9.31380001664679e-08	"Ast"	"L3MBTL4"	"female"	"Entorhinal Cortex"
"LINC-PINT"	8.861058227958e-12	1.05787844853131	0.576	0.222	9.53804307657399e-08	"Ast"	"LINC-PINT"	"female"	"Entorhinal Cortex"
"SLC7A2"	1.14686937927991e-11	1.32576137763419	0.339	0.051	1.23449019985689e-07	"Ast"	"SLC7A2"	"female"	"Entorhinal Cortex"
"ARHGAP24"	1.61864550390555e-11	-1.74103764412624	0.069	0.312	1.74231002040393e-07	"Ast"	"ARHGAP24"	"female"	"Entorhinal Cortex"
"ITPKB"	2.93450826675326e-11	0.885665046903733	0.637	0.267	3.15870469833321e-07	"Ast"	"ITPKB"	"female"	"Entorhinal Cortex"
"CD44"	3.84580953380198e-11	1.5425721041176	0.371	0.08	4.13962938218445e-07	"Ast"	"CD44"	"female"	"Entorhinal Cortex"
"ADAMTS9-AS2"	8.17311237027241e-11	1.41535381393328	0.322	0.057	8.79753815536122e-07	"Ast"	"ADAMTS9-AS2"	"female"	"Entorhinal Cortex"
"DST"	8.50746873663202e-11	0.64849382101519	0.918	0.682	9.15743934811071e-07	"Ast"	"DST"	"female"	"Entorhinal Cortex"
"OSBPL11"	1.255185994693e-10	1.20420846663637	0.371	0.091	1.35108220468755e-06	"Ast"	"OSBPL11"	"female"	"Entorhinal Cortex"
"ERBB2IP"	1.39180436943149e-10	1.01826109944572	0.706	0.392	1.49813822325606e-06	"Ast"	"ERBB2IP"	"female"	"Entorhinal Cortex"
"CADM2"	1.72728550548807e-10	-0.989338402875501	0.718	0.778	1.85925011810736e-06	"Ast"	"CADM2"	"female"	"Entorhinal Cortex"
"ARHGAP26"	1.93589513287793e-10	0.932374517481527	0.576	0.244	2.0837975210298e-06	"Ast"	"ARHGAP26"	"female"	"Entorhinal Cortex"
"PLD5"	1.93736219136726e-10	-1.459425895849	0.029	0.222	2.08537666278772e-06	"Ast"	"PLD5"	"female"	"Entorhinal Cortex"
"TSHZ2"	1.93743915678699e-10	1.43737076469813	0.294	0.045	2.08545950836552e-06	"Ast"	"TSHZ2"	"female"	"Entorhinal Cortex"
"HMBOX1"	2.06905506515407e-10	1.34101461600472	0.322	0.062	2.22713087213184e-06	"Ast"	"HMBOX1"	"female"	"Entorhinal Cortex"
"AHCYL1"	3.19640277933201e-10	0.786102548083465	0.71	0.358	3.44060795167298e-06	"Ast"	"AHCYL1"	"female"	"Entorhinal Cortex"
"DCLK1"	3.86935579042216e-10	0.743210951606068	0.461	0.136	4.16497457281041e-06	"Ast"	"DCLK1"	"female"	"Entorhinal Cortex"
"SAT1"	3.99128148573363e-10	-1.2654650499725	0.159	0.409	4.29621539124368e-06	"Ast"	"SAT1"	"female"	"Entorhinal Cortex"
"FTL"	4.87184599213282e-10	-1.19269089462302	0.433	0.636	5.24405502593177e-06	"Ast"	"FTL"	"female"	"Entorhinal Cortex"
"ITGB8"	4.92646087407397e-10	1.21910720027102	0.376	0.097	5.30284248485322e-06	"Ast"	"ITGB8"	"female"	"Entorhinal Cortex"
"DDIT4"	5.16930636085593e-10	1.22984557003988	0.465	0.17	5.56424136682532e-06	"Ast"	"DDIT4"	"female"	"Entorhinal Cortex"
"RFX3-AS1"	6.59255976472117e-10	1.00729615804202	0.453	0.153	7.09623133074587e-06	"Ast"	"RFX3-AS1"	"female"	"Entorhinal Cortex"
"PDE4D"	1.12891717537113e-09	-1.03530203273843	0.429	0.642	1.21516644756949e-05	"Ast"	"PDE4D"	"female"	"Entorhinal Cortex"
"MARCH3"	1.13760189288673e-09	1.33342382714905	0.355	0.091	1.22451467750327e-05	"Ast"	"MARCH3"	"female"	"Entorhinal Cortex"
"GLUD1"	1.25441082930754e-09	-1.32078175767526	0.302	0.523	1.35024781666663e-05	"Ast"	"GLUD1"	"female"	"Entorhinal Cortex"
"LRRC4C"	2.009878494464e-09	-1.41141678703854	0.257	0.477	2.16343321144105e-05	"Ast"	"LRRC4C"	"female"	"Entorhinal Cortex"
"DPYSL2"	2.1960569646394e-09	0.85380206027542	0.624	0.312	2.36383571673785e-05	"Ast"	"DPYSL2"	"female"	"Entorhinal Cortex"
"FAM189A2"	2.35639429636716e-09	0.95808510291054	0.539	0.233	2.53642282060961e-05	"Ast"	"FAM189A2"	"female"	"Entorhinal Cortex"
"HSPB1"	2.70789995753264e-09	1.23075307205047	0.465	0.182	2.91478351428813e-05	"Ast"	"HSPB1"	"female"	"Entorhinal Cortex"
"LCNL1"	2.80694016822791e-09	1.2501477887783	0.449	0.17	3.02139039708052e-05	"Ast"	"LCNL1"	"female"	"Entorhinal Cortex"
"C3"	4.59967192406452e-09	1.35030525166827	0.188	0.006	4.95108685906305e-05	"Ast"	"C3"	"female"	"Entorhinal Cortex"
"MEG3"	4.86661365938159e-09	-1.53731634373304	0.098	0.307	5.23842294295834e-05	"Ast"	"MEG3"	"female"	"Entorhinal Cortex"
"NFKBIA"	4.99410838001555e-09	1.17626904006502	0.302	0.068	5.37565826024874e-05	"Ast"	"NFKBIA"	"female"	"Entorhinal Cortex"
"ZFP36"	5.1898291784666e-09	1.29581560580174	0.257	0.04	5.58633212770145e-05	"Ast"	"ZFP36"	"female"	"Entorhinal Cortex"
"MTHFD1L"	7.38775702593313e-09	1.18672784332358	0.273	0.051	7.95218166271442e-05	"Ast"	"MTHFD1L"	"female"	"Entorhinal Cortex"
"SERPINI2"	7.44919313721999e-09	0.988304542410089	0.335	0.085	8.0183114929036e-05	"Ast"	"SERPINI2"	"female"	"Entorhinal Cortex"
"DTNA"	7.51381980001366e-09	0.533197919558765	0.963	0.858	8.0878756327347e-05	"Ast"	"DTNA"	"female"	"Entorhinal Cortex"
"RFX4"	8.12180014414529e-09	0.608479822509383	0.739	0.443	8.742305675158e-05	"Ast"	"RFX4"	"female"	"Entorhinal Cortex"
"GPI"	9.16316111870218e-09	1.05110851132782	0.273	0.051	9.86322662817103e-05	"Ast"	"GPI"	"female"	"Entorhinal Cortex"
"TPST1"	1.19808959880176e-08	0.94036451713021	0.441	0.159	0.000128962364415021	"Ast"	"TPST1"	"female"	"Entorhinal Cortex"
"LRRFIP2"	1.52144350184706e-08	0.976663680124902	0.363	0.108	0.000163768178538818	"Ast"	"LRRFIP2"	"female"	"Entorhinal Cortex"
"SLC4A4"	1.89713862222655e-08	-1.25157239039942	0.273	0.506	0.000204208001296466	"Ast"	"SLC4A4"	"female"	"Entorhinal Cortex"
"PCLO"	2.14386290058116e-08	0.952170879815586	0.286	0.062	0.000230765402618556	"Ast"	"PCLO"	"female"	"Entorhinal Cortex"
"NCOA1"	2.16944851043424e-08	0.662989349962676	0.755	0.432	0.000233519437663142	"Ast"	"NCOA1"	"female"	"Entorhinal Cortex"
"GABRB1"	2.4910681689101e-08	-1.10298272988378	0.396	0.602	0.000268138577701483	"Ast"	"GABRB1"	"female"	"Entorhinal Cortex"
"ATP9A"	2.73181613591995e-08	1.03938440292487	0.339	0.102	0.000294052688870424	"Ast"	"ATP9A"	"female"	"Entorhinal Cortex"
"PARD3"	3.40183006310296e-08	0.654078435277005	0.812	0.517	0.000366172987992403	"Ast"	"PARD3"	"female"	"Entorhinal Cortex"
"RP11-507B12.2"	3.74659441081922e-08	1.38810610038477	0.229	0.034	0.000403283422380581	"Ast"	"RP11-507B12.2"	"female"	"Entorhinal Cortex"
"ABR"	3.7513652794803e-08	0.90811165734366	0.482	0.199	0.000403796958683259	"Ast"	"ABR"	"female"	"Entorhinal Cortex"
"MIR4300HG"	4.50083153282066e-08	0.799012895102597	0.478	0.188	0.000484469506192816	"Ast"	"MIR4300HG"	"female"	"Entorhinal Cortex"
"LINC00486"	4.55479098205729e-08	0.422614012120365	0.988	0.92	0.000490277701308646	"Ast"	"LINC00486"	"female"	"Entorhinal Cortex"
"NPAS3"	5.1554251926736e-08	-0.477957272632119	0.984	0.943	0.000554929967739387	"Ast"	"NPAS3"	"female"	"Entorhinal Cortex"
"DIO2"	5.30000161462641e-08	-1.15989537188109	0.012	0.148	0.000570492173798387	"Ast"	"DIO2"	"female"	"Entorhinal Cortex"
"MRAS"	5.54212811372317e-08	1.08129610288382	0.31	0.08	0.000596554670161162	"Ast"	"MRAS"	"female"	"Entorhinal Cortex"
"NHSL1"	5.62507802559996e-08	-1.33141319426706	0.31	0.489	0.00060548339867558	"Ast"	"NHSL1"	"female"	"Entorhinal Cortex"
"RP11-739G5.1"	6.81567374340367e-08	0.992045443342338	0.286	0.068	0.000733639121739971	"Ast"	"RP11-739G5.1"	"female"	"Entorhinal Cortex"
"MICALL2"	7.0453096792922e-08	0.78811227060416	0.384	0.136	0.000758357133879013	"Ast"	"MICALL2"	"female"	"Entorhinal Cortex"
"RP11-371F15.3"	7.3100549014281e-08	1.10560707147169	0.151	0	0.000786854309589721	"Ast"	"RP11-371F15.3"	"female"	"Entorhinal Cortex"
"USP53"	8.55127555729954e-08	1.0883692103648	0.294	0.08	0.000920459300987722	"Ast"	"USP53"	"female"	"Entorhinal Cortex"
"ALDH1L1"	9.26129817737423e-08	0.885054264156764	0.433	0.165	0.000996886135812562	"Ast"	"ALDH1L1"	"female"	"Entorhinal Cortex"
"PPFIA1"	9.39486529287904e-08	0.744695406018494	0.486	0.21	0.0010112633001255	"Ast"	"PPFIA1"	"female"	"Entorhinal Cortex"
"GALNT15"	1.01577085714159e-07	1.10744164590834	0.261	0.057	0.00109337575062721	"Ast"	"GALNT15"	"female"	"Entorhinal Cortex"
"CTC-490E21.12"	1.09828682977734e-07	0.889605696647894	0.233	0.04	0.00118219594357233	"Ast"	"CTC-490E21.12"	"female"	"Entorhinal Cortex"
"RP11-563J2.2"	1.1026648019326e-07	0.956354376414367	0.253	0.051	0.00118690839280026	"Ast"	"RP11-563J2.2"	"female"	"Entorhinal Cortex"
"APLNR"	1.22857410374072e-07	1.16823202562465	0.159	0.006	0.00132243716526651	"Ast"	"APLNR"	"female"	"Entorhinal Cortex"
"ESRRG"	1.31278753671638e-07	-1.29979255599389	0.127	0.324	0.00141308450452151	"Ast"	"ESRRG"	"female"	"Entorhinal Cortex"
"S100A6"	1.49989869539536e-07	1.20907923683287	0.237	0.045	0.00161449095572357	"Ast"	"S100A6"	"female"	"Entorhinal Cortex"
"WWOX"	1.5537039775213e-07	0.485749869897503	0.943	0.761	0.00167240696140393	"Ast"	"WWOX"	"female"	"Entorhinal Cortex"
"CST3"	1.6709024663521e-07	-0.766437774173041	0.657	0.727	0.0017985594147814	"Ast"	"CST3"	"female"	"Entorhinal Cortex"
"A2ML1-AS1"	1.9891534520618e-07	-0.984027809248542	0.02	0.159	0.00214112477579932	"Ast"	"A2ML1-AS1"	"female"	"Entorhinal Cortex"
"SORBS1"	2.05939134720039e-07	0.568862608688354	0.861	0.653	0.00221672884612649	"Ast"	"SORBS1"	"female"	"Entorhinal Cortex"
"RP11-116O11.1"	2.3403801609222e-07	-0.961175574813111	0.012	0.136	0.00251918520521665	"Ast"	"RP11-116O11.1"	"female"	"Entorhinal Cortex"
"PLPP1"	2.37290769691459e-07	0.959541014936857	0.371	0.131	0.00255419784495886	"Ast"	"PLPP1"	"female"	"Entorhinal Cortex"
"ADAMTSL3"	2.60220963474029e-07	1.09445243628043	0.249	0.057	0.00280101845083445	"Ast"	"ADAMTSL3"	"female"	"Entorhinal Cortex"
"RBMS3"	3.49246931119955e-07	-1.17140631927337	0.216	0.426	0.0037592939665752	"Ast"	"RBMS3"	"female"	"Entorhinal Cortex"
"RGS22"	3.61442767617327e-07	0.825840989425777	0.151	0.006	0.00389056995063291	"Ast"	"RGS22"	"female"	"Entorhinal Cortex"
"ADCY2"	3.85854624133699e-07	0.596487052785927	0.849	0.625	0.00415333917417514	"Ast"	"ADCY2"	"female"	"Entorhinal Cortex"
"RNF219-AS1"	4.12071041344747e-07	-0.960494889871386	0.576	0.693	0.00443553268903486	"Ast"	"RNF219-AS1"	"female"	"Entorhinal Cortex"
"CSPG5"	4.46256559828865e-07	-1.22533000968749	0.033	0.176	0.0048035056099979	"Ast"	"CSPG5"	"female"	"Entorhinal Cortex"
"FMN2"	4.53250525947676e-07	0.576301677270288	0.849	0.557	0.00487878866130078	"Ast"	"FMN2"	"female"	"Entorhinal Cortex"
"SH3PXD2B"	4.79192814898369e-07	0.58124032003048	0.322	0.097	0.00515803145956605	"Ast"	"SH3PXD2B"	"female"	"Entorhinal Cortex"
"ITPR2"	4.91058806087562e-07	0.637079054855728	0.735	0.477	0.00528575698872651	"Ast"	"ITPR2"	"female"	"Entorhinal Cortex"
"ADGRL3"	4.9150859231796e-07	-0.821193606029398	0.62	0.699	0.00529059848771052	"Ast"	"ADGRL3"	"female"	"Entorhinal Cortex"
"PDK3"	5.02171080339721e-07	0.982380108119833	0.159	0.011	0.00540536950877675	"Ast"	"PDK3"	"female"	"Entorhinal Cortex"
"PTPRK"	5.28523896912353e-07	0.776931722839678	0.278	0.074	0.00568903122636457	"Ast"	"PTPRK"	"female"	"Entorhinal Cortex"
"PHYHD1"	5.5474541252185e-07	0.738800857779879	0.216	0.04	0.00597127962038519	"Ast"	"PHYHD1"	"female"	"Entorhinal Cortex"
"NBPF14"	5.73040158760991e-07	0.755893984508351	0.257	0.062	0.00616820426890331	"Ast"	"NBPF14"	"female"	"Entorhinal Cortex"
"PABPC1"	5.86947146784582e-07	0.89411903821189	0.273	0.074	0.00631789908798924	"Ast"	"PABPC1"	"female"	"Entorhinal Cortex"
"SLC24A3"	6.13304911904993e-07	-1.13912735575843	0.09	0.267	0.00660161407174535	"Ast"	"SLC24A3"	"female"	"Entorhinal Cortex"
"GLUL"	7.11461707443453e-07	-0.944936512428904	0.424	0.58	0.00765817381892133	"Ast"	"GLUL"	"female"	"Entorhinal Cortex"
"HOPX"	7.27289441278206e-07	-1.21036932989666	0.004	0.108	0.00782854354591861	"Ast"	"HOPX"	"female"	"Entorhinal Cortex"
"RP11-3B12.2"	7.54298585295219e-07	-1.31197581487886	0.049	0.199	0.00811926997211774	"Ast"	"RP11-3B12.2"	"female"	"Entorhinal Cortex"
"P2RY14"	7.57406158244059e-07	-1.29666510970497	0.094	0.261	0.00815271988733905	"Ast"	"P2RY14"	"female"	"Entorhinal Cortex"
"VPS13D"	7.79220158310659e-07	0.725806489860735	0.286	0.08	0.00838752578405593	"Ast"	"VPS13D"	"female"	"Entorhinal Cortex"
"TAOK1"	7.95707769639106e-07	0.831181171506202	0.282	0.08	0.00856499843239534	"Ast"	"TAOK1"	"female"	"Entorhinal Cortex"
"FIGN"	8.73175983918318e-07	0.785041743956194	0.42	0.188	0.00939886629089677	"Ast"	"FIGN"	"female"	"Entorhinal Cortex"
"SGCD"	9.43638262296418e-07	-1.17554726178314	0.273	0.455	0.0101573222553586	"Ast"	"SGCD"	"female"	"Entorhinal Cortex"
"GNA14-AS1"	9.45397923041966e-07	-1.18883812392202	0.041	0.182	0.0101762632436237	"Ast"	"GNA14-AS1"	"female"	"Entorhinal Cortex"
"TMSB4X"	1.05226814259442e-06	-1.32625409505684	0.171	0.364	0.0113266142868864	"Ast"	"TMSB4X"	"female"	"Entorhinal Cortex"
"ADGRV1"	1.11329047316821e-06	-0.586979317154989	0.849	0.858	0.0119834586531826	"Ast"	"ADGRV1"	"female"	"Entorhinal Cortex"
"SERGEF"	1.1423656746378e-06	0.813577901367576	0.212	0.04	0.0122964241218012	"Ast"	"SERGEF"	"female"	"Entorhinal Cortex"
"HSPA1A"	1.27994095339136e-06	-1.5969649634182	0.094	0.267	0.0137772844223045	"Ast"	"HSPA1A"	"female"	"Entorhinal Cortex"
"SPTAN1"	1.30580703868855e-06	0.832696979160533	0.4	0.182	0.0140557069644435	"Ast"	"SPTAN1"	"female"	"Entorhinal Cortex"
"BCL6"	1.47593890929727e-06	0.534383784041019	0.461	0.205	0.0158870064196758	"Ast"	"BCL6"	"female"	"Entorhinal Cortex"
"LRP1B"	1.47888879506018e-06	-0.643528697974979	0.906	0.875	0.0159187589900278	"Ast"	"LRP1B"	"female"	"Entorhinal Cortex"
"ARHGEF17"	1.64637566890504e-06	0.809693710370066	0.253	0.068	0.0177215877000939	"Ast"	"ARHGEF17"	"female"	"Entorhinal Cortex"
"MT1E"	1.78525690958131e-06	0.908542819398196	0.547	0.312	0.0192165053747332	"Ast"	"MT1E"	"female"	"Entorhinal Cortex"
"DUSP1"	1.831786594083e-06	1.3138972277291	0.22	0.051	0.0197173508987094	"Ast"	"DUSP1"	"female"	"Entorhinal Cortex"
"CADM1"	2.02008787968925e-06	-0.761543580164547	0.649	0.705	0.021744225936975	"Ast"	"CADM1"	"female"	"Entorhinal Cortex"
"RORB"	2.11352660813766e-06	-1.08968123112163	0.147	0.33	0.0227500004099938	"Ast"	"RORB"	"female"	"Entorhinal Cortex"
"MT2A"	2.12050732549161e-06	0.526893325970941	0.906	0.739	0.0228251408515917	"Ast"	"MT2A"	"female"	"Entorhinal Cortex"
"BCAT2"	2.17667928071284e-06	0.956160330191092	0.265	0.08	0.0234297757775931	"Ast"	"BCAT2"	"female"	"Entorhinal Cortex"
"ARHGAP39"	2.3701097569583e-06	0.820517428706529	0.147	0.011	0.0255118614238991	"Ast"	"ARHGAP39"	"female"	"Entorhinal Cortex"
"PBX1"	2.39115362059841e-06	-0.820391871300766	0.253	0.455	0.0257383775721212	"Ast"	"PBX1"	"female"	"Entorhinal Cortex"
"STAT3"	2.58161959176522e-06	0.781277187490775	0.282	0.091	0.0277885532857608	"Ast"	"STAT3"	"female"	"Entorhinal Cortex"
"TTC3"	2.84272467184094e-06	0.649191846319102	0.388	0.159	0.0305990883676958	"Ast"	"TTC3"	"female"	"Entorhinal Cortex"
"ARFGAP1"	2.91223690697286e-06	0.735135673307341	0.261	0.074	0.0313473180666559	"Ast"	"ARFGAP1"	"female"	"Entorhinal Cortex"
"RILPL1"	2.93625162808851e-06	0.776452293342911	0.18	0.028	0.0316058125247447	"Ast"	"RILPL1"	"female"	"Entorhinal Cortex"
"GRIK4"	3.12832869824075e-06	0.907747085366345	0.208	0.045	0.0336733301078635	"Ast"	"GRIK4"	"female"	"Entorhinal Cortex"
"CLIP2"	3.15916126108032e-06	0.898031309371469	0.208	0.045	0.0340052118142686	"Ast"	"CLIP2"	"female"	"Entorhinal Cortex"
"RBM25"	3.15993837036406e-06	0.948991953130505	0.343	0.142	0.0340135766185987	"Ast"	"RBM25"	"female"	"Entorhinal Cortex"
"FAM157C"	3.17610688975922e-06	0.813231675315517	0.143	0.011	0.0341876145613683	"Ast"	"FAM157C"	"female"	"Entorhinal Cortex"
"NAV1"	3.20302529701524e-06	0.79560311566095	0.363	0.153	0.0344773642970721	"Ast"	"NAV1"	"female"	"Entorhinal Cortex"
"AC069368.3"	3.30695817682272e-06	0.917155906245125	0.208	0.045	0.0355960978153198	"Ast"	"AC069368.3"	"female"	"Entorhinal Cortex"
"AHDC1"	3.32429411054451e-06	0.856987217890061	0.188	0.034	0.0357827018059011	"Ast"	"AHDC1"	"female"	"Entorhinal Cortex"
"SMAD9"	3.34725150153044e-06	0.833636010288394	0.188	0.034	0.0360298151624736	"Ast"	"SMAD9"	"female"	"Entorhinal Cortex"
"ACAP2"	3.48111067031248e-06	0.657953323172628	0.384	0.159	0.0374706752552435	"Ast"	"ACAP2"	"female"	"Entorhinal Cortex"
"RASSF4"	3.54715343273017e-06	0.631152724800033	0.445	0.205	0.0381815595499076	"Ast"	"RASSF4"	"female"	"Entorhinal Cortex"
"CTD-2282P23.2"	3.64769128657173e-06	-1.11742741384629	0.061	0.205	0.0392637490086581	"Ast"	"CTD-2282P23.2"	"female"	"Entorhinal Cortex"
"CCL2"	3.66585291904529e-06	1.16979301120504	0.127	0.006	0.0394592408206035	"Ast"	"CCL2"	"female"	"Entorhinal Cortex"
"RALGDS"	3.81639387941195e-06	0.827861996008154	0.286	0.097	0.0410796637179902	"Ast"	"RALGDS"	"female"	"Entorhinal Cortex"
"AHCYL2"	3.86959685954736e-06	0.388106887646056	0.612	0.341	0.0416523405961678	"Ast"	"AHCYL2"	"female"	"Entorhinal Cortex"
"FAM168A"	3.88879347863412e-06	0.871997887614295	0.314	0.119	0.0418589730040176	"Ast"	"FAM168A"	"female"	"Entorhinal Cortex"
